Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/29/2014,26-229,GSW,@,SAC,W (+18),1,36:32:00,7,17,0.412,2,9,0.222,8,9,0.889,1,9,10,5,6,0,4,5,24,21.4,20
2,2,11/1/2014,26-232,GSW,,LAL,W (+23),1,34:06:00,10,19,0.526,3,8,0.375,8,8,1,0,5,5,10,3,0,2,3,31,30,30
3,3,11/2/2014,26-233,GSW,@,POR,W (+5),1,30:50:00,6,18,0.333,1,5,0.2,8,8,1,1,4,5,6,2,0,3,1,21,15.5,12
4,4,11/5/2014,26-236,GSW,,LAC,W (+17),1,33:49:00,9,18,0.5,4,8,0.5,6,6,1,0,6,6,7,1,0,5,4,28,20.1,21
5,5,11/8/2014,26-239,GSW,@,HOU,W (+11),1,39:58:00,13,19,0.684,6,9,0.667,2,2,1,1,8,9,5,4,0,5,2,34,30.7,13
6,6,11/9/2014,26-240,GSW,@,PHO,L (-12),1,34:04:00,10,20,0.5,4,10,0.4,4,4,1,0,2,2,10,5,0,10,5,28,18.6,-6
7,7,11/11/2014,26-242,GSW,,SAS,L (-13),1,35:46:00,7,18,0.389,0,7,0,2,2,1,0,6,6,5,0,0,3,2,16,7.7,-18
8,8,11/13/2014,26-244,GSW,,BRK,W (+8),1,31:56:00,6,12,0.5,3,7,0.429,2,2,1,1,2,3,5,0,0,3,5,17,10.8,6
9,9,11/15/2014,26-246,GSW,,CHO,W (+25),1,28:18:00,8,15,0.533,3,6,0.5,0,1,0,2,3,5,9,1,0,1,3,19,18.7,23
10,10,11/16/2014,26-247,GSW,@,LAL,W (+21),1,29:56:00,10,19,0.526,5,9,0.556,5,5,1,0,4,4,15,1,0,3,0,30,30.4,27
11,11,11/21/2014,26-252,GSW,,UTA,W (+13),1,24:30:00,3,9,0.333,2,6,0.333,0,0,,0,5,5,10,2,0,4,2,8,8.6,23
12,12,11/23/2014,26-254,GSW,@,OKC,W (+5),1,38:07:00,5,15,0.333,2,6,0.333,3,4,0.75,0,6,6,6,1,0,1,0,15,12.1,2
13,13,11/25/2014,26-256,GSW,@,MIA,W (+17),1,37:05:00,12,19,0.632,8,11,0.727,8,9,0.889,0,6,6,7,3,1,2,2,40,38.7,28
14,14,11/26/2014,26-257,GSW,@,ORL,W (+15),1,23:38,9,13,0.692,6,8,0.75,4,5,0.8,1,4,5,8,0,0,1,1,28,28.2,22
15,15,11/28/2014,26-259,GSW,@,CHO,W (+5),1,32:20:00,9,20,0.45,1,10,0.1,7,7,1,1,3,4,6,1,2,4,4,26,18.2,16
16,16,11/30/2014,26-261,GSW,@,DET,W (+11),1,28:22:00,5,9,0.556,1,3,0.333,5,6,0.833,1,2,3,10,1,0,1,2,16,18.8,11
17,17,12/2/2014,26-263,GSW,,ORL,W (+1),1,36:27:00,8,17,0.471,3,9,0.333,3,3,1,1,3,4,5,0,0,4,2,22,13.6,8
18,18,12/4/2014,26-265,GSW,,NOP,W (+27),1,30:37:00,8,17,0.471,3,6,0.5,0,0,,0,3,3,11,4,1,2,0,19,21.6,11
19,19,12/6/2014,26-267,GSW,@,CHI,W (+10),1,36:11:00,5,14,0.357,1,5,0.2,8,9,0.889,1,5,6,7,1,0,3,2,19,15.1,7
20,20,12/8/2014,26-269,GSW,@,MIN,W (+16),1,31:20:00,10,20,0.5,1,7,0.143,0,0,,1,3,4,7,3,1,3,3,21,17,22
21,21,12/10/2014,26-271,GSW,,HOU,W (+12),1,37:27:00,8,15,0.533,3,5,0.6,1,1,1,1,6,7,7,0,0,4,3,20,14.9,16
22,22,12/13/2014,26-274,GSW,@,DAL,W (+7),1,37:11:00,9,22,0.409,3,11,0.273,8,9,0.889,0,3,3,8,2,0,1,1,29,23.9,13
23,23,12/14/2014,26-275,GSW,@,NOP,W (+6),1,39:55:00,11,21,0.524,6,10,0.6,6,6,1,0,7,7,7,1,0,6,1,34,25.3,5
24,24,12/16/2014,26-277,GSW,@,MEM,L (-7),1,38:57:00,9,25,0.36,1,10,0.1,0,0,,0,7,7,6,4,0,3,2,19,11.6,16
25,25,12/18/2014,26-279,GSW,,OKC,W (+5),1,41:31:00,14,24,0.583,5,12,0.417,1,1,1,4,3,7,9,4,1,4,0,34,33.5,7
26,26,12/22/2014,26-283,GSW,,SAC,W (+20),1,26:18:00,5,12,0.417,1,5,0.2,1,1,1,0,2,2,11,3,0,1,1,12,15.5,15
27,27,12/23/2014,26-284,GSW,@,LAL,L (-10),1,29:58:00,10,14,0.714,2,5,0.4,0,0,,0,2,2,6,3,0,7,0,22,17,-10
28,28,12/25/2014,26-286,GSW,@,LAC,L (-14),1,35:59:00,5,12,0.417,1,5,0.2,3,4,0.75,2,7,9,7,2,0,5,3,14,11.4,-12
29,29,12/27/2014,26-288,GSW,,MIN,W (+13),1,30:32:00,9,18,0.5,4,9,0.444,3,4,0.75,1,2,3,6,3,0,3,3,25,19.9,18
30,30,12/30/2014,26-291,GSW,,PHI,W (+40),1,26:43:00,4,7,0.571,3,6,0.5,2,2,1,0,3,3,9,3,0,3,3,13,15.7,28
31,31,1/2/2015,26-294,GSW,,TOR,W (+21),1,33:54:00,10,18,0.556,5,11,0.455,7,7,1,2,3,5,12,1,0,0,3,32,33.9,25
32,32,1/5/2015,26-297,GSW,,OKC,W (+26),1,31:17:00,7,14,0.5,1,4,0.25,4,4,1,0,9,9,6,4,0,2,2,19,20.1,15
33,33,1/7/2015,26-299,GSW,,IND,W (+15),1,34:47:00,8,17,0.471,4,8,0.5,1,1,1,0,3,3,15,4,0,5,5,21,20.7,12
34,34,1/9/2015,26-301,GSW,,CLE,W (+18),1,35:00:00,8,15,0.533,3,8,0.375,4,4,1,0,1,1,10,2,0,1,1,23,23.6,10
35,35,1/13/2015,26-305,GSW,@,UTA,W (+11),1,29:13:00,10,16,0.625,4,9,0.444,3,3,1,0,2,2,11,0,0,2,2,27,25.3,17
36,36,1/14/2015,26-306,GSW,,MIA,W (+15),1,32:06:00,11,19,0.579,7,10,0.7,3,5,0.6,2,3,5,3,2,0,3,1,32,25.3,11
37,37,1/16/2015,26-308,GSW,@,OKC,L (-12),1,31:12:00,6,13,0.462,2,6,0.333,5,5,1,0,3,3,6,2,0,6,2,19,12.6,-4
38,38,1/17/2015,26-309,GSW,@,HOU,W (+25),1,33:00:00,9,18,0.5,2,8,0.25,7,8,0.875,3,4,7,11,3,1,2,0,27,30.3,25
39,39,1/19/2015,26-311,GSW,,DEN,W (+43),1,25:14:00,7,13,0.538,2,5,0.4,4,4,1,1,0,1,8,1,2,1,2,20,20.6,18
40,40,1/21/2015,26-313,GSW,,HOU,W (+13),1,33:39:00,7,12,0.583,3,5,0.6,5,6,0.833,2,1,3,10,1,0,6,3,22,18.5,23
41,41,1/23/2015,26-315,GSW,,SAC,W (+25),1,29:03:00,3,11,0.273,2,7,0.286,2,2,1,1,3,4,11,2,0,6,0,10,8.8,20
42,42,1/25/2015,26-317,GSW,,BOS,W (+3),1,33:03:00,6,16,0.375,1,5,0.2,9,9,1,0,4,4,11,2,0,3,1,22,20.7,6
43,43,1/27/2015,26-319,GSW,,CHI,L (-2),1,42:58:00,9,23,0.391,2,9,0.222,1,1,1,0,4,4,9,3,0,3,3,21,14.8,-3
44,44,1/30/2015,26-322,GSW,@,UTA,L (-10),1,33:59:00,10,22,0.455,5,11,0.455,7,9,0.778,1,6,7,6,3,0,2,1,32,27.1,-11
45,45,1/31/2015,26-323,GSW,,PHO,W (+19),1,37:26:00,9,23,0.391,4,9,0.444,3,3,1,1,3,4,7,2,1,1,2,25,19.9,23
46,46,2/3/2015,26-326,GSW,@,SAC,W (+25),1,28:34:00,6,15,0.4,2,6,0.333,9,10,0.9,0,5,5,9,3,0,2,2,23,22.5,7
47,47,2/4/2015,26-327,GSW,,DAL,W (+14),1,36:57:00,16,26,0.615,10,16,0.625,9,11,0.818,0,4,4,4,1,0,3,3,51,39.2,0
48,48,2/6/2015,26-329,GSW,@,ATL,L (-8),1,36:12:00,8,19,0.421,4,9,0.444,6,7,0.857,0,2,2,9,2,2,1,3,26,23.6,-5
49,49,2/7/2015,26-330,GSW,@,NYK,W (+14),1,31:19:00,8,18,0.444,5,9,0.556,1,3,0.333,2,4,6,0,2,0,3,0,22,13.4,21
50,50,2/9/2015,26-332,GSW,@,PHI,W (+5),1,31:45:00,7,20,0.35,3,12,0.25,3,4,0.75,0,5,5,6,3,0,1,2,20,15.3,0
51,51,2/11/2015,26-334,GSW,@,MIN,W (+3),1,35:30:00,9,23,0.391,2,10,0.2,5,5,1,2,3,5,8,3,0,3,1,25,20,0
52,52,2/20/2015,26-343,GSW,,SAS,W (+11),1,31:53:00,8,17,0.471,4,8,0.5,5,5,1,0,4,4,11,4,0,2,2,25,26.4,22
53,,2/22/2015,26-345,GSW,,IND,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,53,2/24/2015,26-347,GSW,@,WAS,W (+7),1,33:49:00,11,18,0.611,5,9,0.556,5,5,1,0,0,0,8,2,0,0,1,32,31,1
55,54,2/26/2015,26-349,GSW,@,CLE,L (-11),1,33:50:00,5,17,0.294,3,9,0.333,5,5,1,0,3,3,6,1,0,4,3,18,9,-10
56,55,2/27/2015,26-350,GSW,@,TOR,W (+24),1,25:01:00,8,13,0.615,3,4,0.75,3,3,1,3,3,6,5,2,0,2,0,22,22.6,33
57,56,3/1/2015,26-352,GSW,@,BOS,W (+5),1,37:38:00,14,22,0.636,5,8,0.625,4,4,1,0,4,4,5,1,0,5,1,37,27.5,8
58,57,3/2/2015,26-353,GSW,@,BRK,L (-2),1,29:16:00,8,16,0.5,6,12,0.5,4,4,1,0,2,2,7,1,0,4,4,26,18.9,1
59,58,3/4/2015,26-355,GSW,,MIL,W (+9),1,36:35:00,6,16,0.375,6,13,0.462,1,2,0.5,0,1,1,11,2,2,5,3,19,15,6
60,59,3/6/2015,26-357,GSW,,DAL,W (+15),1,30:53:00,6,11,0.545,5,8,0.625,5,6,0.833,0,2,2,7,2,1,3,2,22,20.7,23
61,60,3/8/2015,26-359,GSW,,LAC,W (+8),1,31:58:00,3,9,0.333,2,2,1,4,4,1,0,1,1,4,3,0,4,1,12,8.6,15
62,61,3/9/2015,26-360,GSW,@,PHO,W (+18),1,35:46:00,14,24,0.583,7,13,0.538,1,2,0.5,3,3,6,5,4,0,4,3,36,29.7,23
63,62,3/11/2015,26-362,GSW,,DET,W (+7),1,33:57:00,4,15,0.267,1,7,0.143,0,0,,1,4,5,11,1,0,3,1,9,7.3,8
64,,3/13/2015,26-364,GSW,,DEN,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,63,3/14/2015,27-000,GSW,,NYK,W (+31),1,26:56:00,8,15,0.533,6,10,0.6,3,3,1,0,3,3,11,3,0,1,2,25,27.5,30
66,64,3/16/2015,27-002,GSW,,LAL,W (+3),1,32:40:00,5,14,0.357,2,6,0.333,7,7,1,0,4,4,9,3,0,6,2,19,14.9,-2
67,65,3/18/2015,27-004,GSW,,ATL,W (+19),1,29:41:00,4,11,0.364,2,6,0.333,6,6,1,1,3,4,12,0,0,4,1,16,15.5,16
68,66,3/20/2015,27-006,GSW,,NOP,W (+16),1,27:02:00,4,17,0.235,2,10,0.2,6,6,1,0,2,2,11,0,0,3,0,16,11,11
69,67,3/21/2015,27-007,GSW,,UTA,W (+15),1,32:14:00,8,18,0.444,3,6,0.5,5,5,1,1,2,3,3,3,0,0,0,24,21,12
70,68,3/23/2015,27-009,GSW,,WAS,W (+31),1,28:16:00,8,14,0.571,5,8,0.625,3,3,1,1,4,5,6,2,0,2,1,24,23.1,30
71,69,3/24/2015,27-010,GSW,@,POR,W (+14),1,35:26:00,13,22,0.591,5,9,0.556,2,2,1,0,2,2,10,1,0,2,2,33,28.6,12
72,70,3/27/2015,27-013,GSW,@,MEM,W (+23),1,34:14:00,12,22,0.545,8,12,0.667,6,6,1,1,2,3,10,3,1,4,3,38,34.2,26
73,71,3/28/2015,27-014,GSW,@,MIL,W (+13),1,30:24:00,8,13,0.615,6,9,0.667,3,3,1,0,4,4,6,1,0,6,4,25,17.9,-1
74,72,3/31/2015,27-017,GSW,@,LAC,W (+4),1,36:11:00,8,15,0.533,4,6,0.667,7,7,1,1,0,1,4,1,0,3,3,27,20,-1
75,73,4/2/2015,27-019,GSW,,PHO,W (+1),1,33:32:00,10,22,0.455,6,11,0.545,2,2,1,1,7,8,5,0,0,6,3,28,15.7,-1
76,74,4/4/2015,27-021,GSW,@,DAL,W (+13),1,27:27:00,4,12,0.333,1,4,0.25,2,3,0.667,2,2,4,3,1,0,1,1,11,7.5,9
77,75,4/5/2015,27-022,GSW,@,SAS,L (-15),1,30:03:00,9,17,0.529,5,10,0.5,1,2,0.5,0,4,4,6,1,0,4,2,24,16.9,-16
78,76,4/7/2015,27-024,GSW,@,NOP,L (-3),1,34:45:00,9,18,0.5,5,8,0.625,2,2,1,1,5,6,9,1,0,2,3,25,22.3,4
79,77,4/9/2015,27-026,GSW,,POR,W (+11),1,35:13:00,17,23,0.739,8,13,0.615,3,3,1,1,1,2,10,0,0,4,2,45,38.9,21
80,78,4/11/2015,27-028,GSW,,MIN,W (+9),1,35:26:00,11,21,0.524,5,11,0.455,7,8,0.875,0,4,4,7,4,0,3,1,34,30,17
81,79,4/13/2015,27-030,GSW,,MEM,W (+4),1,29:17:00,6,10,0.6,3,6,0.5,0,0,,0,4,4,8,1,0,3,2,15,14.4,24
82,80,4/15/2015,27-032,GSW,,DEN,W (+7),1,19:20,4,10,0.4,2,4,0.5,0,0,,2,2,4,7,5,0,2,1,10,14.1,14
1,1,4/18/2015,27-035,GSW,,NOP,W (+7),1,40:06:00,13,25,0.52,4,13,0.308,4,7,0.571,0,4,4,5,3,0,3,4,34,23.6,20
2,2,4/20/2015,27-037,GSW,,NOP,W (+10),1,37:05:00,9,21,0.429,3,9,0.333,1,1,1,0,4,4,6,1,0,5,1,22,11.9,3
3,3,4/23/2015,27-040,GSW,@,NOP,W (+4),1,43:51:00,10,29,0.345,7,18,0.389,13,14,0.929,1,4,5,9,0,0,3,3,40,27.3,13
4,4,4/25/2015,27-042,GSW,@,NOP,W (+11),1,38:14:00,11,20,0.55,6,8,0.75,11,12,0.917,3,5,8,9,1,0,5,4,39,33.3,14
5,5,5/3/2015,27-050,GSW,,MEM,W (+15),1,37:36:00,8,18,0.444,4,8,0.5,2,2,1,1,1,2,7,4,0,4,1,22,18.1,14
6,6,5/5/2015,27-052,GSW,,MEM,L (-7),1,40:43:00,7,19,0.368,2,11,0.182,3,4,0.75,0,5,5,6,0,0,3,0,19,10.8,-8
7,7,5/9/2015,27-056,GSW,@,MEM,L (-10),1,39:33:00,8,21,0.381,2,10,0.2,5,7,0.714,1,1,2,6,1,1,4,1,23,13.2,-6
8,8,5/11/2015,27-058,GSW,@,MEM,W (+17),1,38:35:00,11,22,0.5,4,9,0.444,7,9,0.778,2,6,8,5,2,0,4,4,33,24.3,19
9,9,5/13/2015,27-060,GSW,,MEM,W (+20),1,32:33:00,6,16,0.375,6,13,0.462,0,0,,2,5,7,5,6,0,5,0,18,16.6,16
10,10,5/15/2015,27-062,GSW,@,MEM,W (+13),1,38:40:00,11,25,0.44,8,13,0.615,2,2,1,0,6,6,10,0,0,4,3,32,22.5,11
11,11,5/19/2015,27-066,GSW,,HOU,W (+4),1,39:25:00,13,22,0.591,6,11,0.545,2,3,0.667,0,6,6,5,2,0,1,3,34,28.5,11
12,12,5/21/2015,27-068,GSW,,HOU,W (+1),1,36:46:00,13,21,0.619,5,11,0.455,2,3,0.667,0,3,3,6,1,0,6,2,33,22.4,-7
13,13,5/23/2015,27-070,GSW,@,HOU,W (+35),1,34:58:00,12,19,0.632,7,9,0.778,9,10,0.9,3,2,5,7,2,1,4,2,40,36.6,33
14,14,5/25/2015,27-072,GSW,@,HOU,L (-13),1,30:59:00,7,18,0.389,6,13,0.462,3,3,1,1,0,1,4,0,0,0,3,23,15.5,-20
15,15,5/27/2015,27-074,GSW,,HOU,W (+14),1,41:48:00,7,21,0.333,3,11,0.273,9,12,0.75,1,7,8,6,5,0,3,3,26,20.7,1
16,16,6/4/2015,27-082,GSW,,CLE,W (+8),1,42:39:00,10,20,0.5,2,6,0.333,4,4,1,0,4,4,8,2,0,4,1,26,20.4,4
17,17,6/7/2015,27-085,GSW,,CLE,L (-2),1,42:16:00,5,23,0.217,2,15,0.133,7,8,0.875,0,6,6,5,0,0,6,4,19,2.2,-2
18,18,6/9/2015,27-087,GSW,@,CLE,L (-5),1,43:46:00,10,20,0.5,7,13,0.538,0,0,,2,4,6,6,3,1,6,2,27,20.7,-6
19,19,6/11/2015,27-089,GSW,@,CLE,W (+21),1,41:03:00,8,17,0.471,4,7,0.571,2,2,1,0,2,2,7,1,0,4,1,22,15.4,18
20,20,6/14/2015,27-092,GSW,,CLE,W (+13),1,42:07:00,13,23,0.565,7,13,0.538,4,4,1,3,4,7,4,2,0,5,2,37,28.4,24
21,21,6/16/2015,27-094,GSW,@,CLE,W (+8),1,43:06:00,8,19,0.421,3,11,0.273,6,8,0.75,0,6,6,8,3,0,3,3,25,20.3,14
1,1,10/27/2015,27-227,GSW,,NOP,W (+16),1,35:37:00,14,26,0.538,5,12,0.417,7,7,1,3,3,6,7,2,0,2,1,40,34.9,12
2,2,10/30/2015,27-230,GSW,@,HOU,W (+20),1,27:24:00,9,15,0.6,4,9,0.444,3,4,0.75,0,7,7,6,1,0,1,4,25,22.4,12
3,3,10/31/2015,27-231,GSW,@,NOP,W (+14),1,35:38:00,17,27,0.63,8,14,0.571,11,11,1,0,4,4,9,4,0,2,3,53,49.2,16
4,4,11/2/2015,27-233,GSW,,MEM,W (+50),1,28:24:00,10,16,0.625,4,8,0.5,6,6,1,1,2,3,3,3,1,3,2,30,26.1,37
5,5,11/4/2015,27-235,GSW,,LAC,W (+4),1,32:38:00,8,17,0.471,7,11,0.636,8,9,0.889,0,5,5,4,1,0,0,3,31,26,7
6,6,11/6/2015,27-237,GSW,,DEN,W (+15),1,34:39:00,12,22,0.545,8,16,0.5,2,3,0.667,0,7,7,10,3,1,4,1,34,31.4,14
7,7,11/7/2015,27-238,GSW,@,SAC,W (+9),1,39:08:00,8,18,0.444,2,10,0.2,6,7,0.857,1,5,6,3,2,0,6,1,24,14.1,6
8,8,11/9/2015,27-240,GSW,,DET,W (+14),1,36:50:00,7,18,0.389,3,7,0.429,5,6,0.833,1,4,5,5,3,0,5,1,22,14.8,12
9,9,11/11/2015,27-242,GSW,@,MEM,W (+16),1,34:30:00,9,21,0.429,3,10,0.3,7,7,1,0,5,5,5,5,1,4,1,28,23.2,16
10,10,11/12/2015,27-243,GSW,@,MIN,W (+13),1,37:42:00,15,25,0.6,8,13,0.615,8,8,1,0,5,5,4,2,0,3,3,46,36.6,21
11,11,11/14/2015,27-245,GSW,,BRK,W (+8),1,43:44:00,13,31,0.419,5,16,0.313,3,3,1,0,3,3,6,1,0,4,1,34,19.2,3
12,12,11/17/2015,27-248,GSW,,TOR,W (+5),1,39:35:00,13,23,0.565,5,10,0.5,6,7,0.857,0,2,2,9,2,0,7,1,37,27.2,11
13,13,11/19/2015,27-250,GSW,@,LAC,W (+7),1,36:46:00,11,22,0.5,6,14,0.429,12,12,1,0,11,11,4,3,0,7,2,40,30.3,12
14,14,11/20/2015,27-251,GSW,,CHI,W (+12),1,36:05:00,9,20,0.45,3,11,0.273,6,6,1,1,4,5,4,4,0,6,2,27,18.5,11
15,15,11/22/2015,27-253,GSW,@,DEN,W (+13),1,27:37:00,8,16,0.5,3,8,0.375,0,0,,0,4,4,7,3,0,4,0,19,16.1,11
16,16,11/24/2015,27-255,GSW,,LAL,W (+34),1,30:10:00,10,21,0.476,4,12,0.333,0,0,,0,4,4,9,2,0,0,1,24,22.4,36
17,17,11/27/2015,27-258,GSW,@,PHO,W (+19),1,30:39:00,11,20,0.55,9,16,0.563,10,11,0.909,1,5,6,8,2,0,6,2,41,34,27
18,18,11/28/2015,27-259,GSW,,SAC,W (+19),1,29:48:00,4,7,0.571,3,6,0.5,8,8,1,0,4,4,6,3,0,1,1,19,22.7,19
19,19,11/30/2015,27-261,GSW,@,UTA,W (+3),1,37:16:00,9,20,0.45,4,8,0.5,4,4,1,2,4,6,5,2,0,2,2,26,20.9,12
20,20,12/2/2015,27-263,GSW,@,CHO,W (+17),1,30:49:00,14,18,0.778,8,11,0.727,4,4,1,0,3,3,5,0,0,5,2,40,31.6,19
21,21,12/5/2015,27-266,GSW,@,TOR,W (+3),1,37:51:00,14,24,0.583,9,15,0.6,7,9,0.778,1,1,2,7,0,0,3,4,44,33.3,15
22,22,12/6/2015,27-267,GSW,@,BRK,W (+16),1,32:14:00,11,17,0.647,5,9,0.556,1,4,0.25,0,5,5,2,1,0,4,2,28,18.4,10
23,23,12/8/2015,27-269,GSW,@,IND,W (+8),1,35:39:00,11,23,0.478,3,10,0.3,4,6,0.667,0,7,7,10,3,0,4,1,29,24.2,18
24,24,12/11/2015,27-272,GSW,@,BOS,W (+5),1,46:55:00,9,27,0.333,6,13,0.462,14,14,1,3,8,11,8,2,0,8,4,38,25.2,15
25,25,12/12/2015,27-273,GSW,@,MIL,L (-13),1,35:14:00,10,22,0.455,2,9,0.222,6,7,0.857,2,5,7,5,1,0,2,2,28,20.8,0
26,26,12/16/2015,27-277,GSW,,PHO,W (+25),1,29:35:00,10,14,0.714,2,5,0.4,3,5,0.6,0,2,2,7,1,0,3,4,25,20.3,37
27,27,12/18/2015,27-279,GSW,,MIL,W (+9),1,39:20:00,7,14,0.5,2,6,0.333,10,11,0.909,2,8,10,9,2,0,6,2,26,23.9,
28,28,12/23/2015,27-284,GSW,,UTA,W (+18),1,34:13:00,5,14,0.357,2,8,0.25,4,4,1,1,4,5,9,3,0,3,2,16,15.6,22
29,29,12/25/2015,27-286,GSW,,CLE,W (+6),1,36:35:00,6,15,0.4,1,4,0.25,6,6,1,1,6,7,7,2,0,3,3,19,16.1,14
