PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Donald Sloan, BKN",55,21.5,0.540,35.8,11.5,17.1,1.4,14.2,7.7,13.91,51.4,1.7
"Tiago Splitter, ATL",36,16.1,0.571,13.0,10.4,14.4,8.7,13.9,11.4,13.87,28.3,0.9
"Monta Ellis, IND",75,34.3,0.505,22.3,12.2,21.0,1.7,9.1,5.4,13.82,127.4,4.2
"Jeremy Lin, CHA",70,25.9,0.532,18.4,11.8,21.3,2.1,11.2,6.6,13.82,76.3,2.5
"Derrick Rose, CHI",63,31.7,0.482,19.3,10.8,26.8,2.3,8.8,5.6,13.81,83.7,2.8
"Tyler Johnson, MIA",36,24.0,0.579,19.9,11.8,16.4,3.8,10.3,7.2,13.81,42.6,1.4
"Tyson Chandler, PHX",61,23.8,0.589,12.2,18.1,11.9,11.4,27.6,19.3,13.78,69.0,2.3
"Shaun Livingston, GS",71,19.4,0.569,31.7,10.0,14.5,3.5,8.2,6.0,13.77,56.9,1.9
"Shelvin Mack, ATL/UTAH",45,18.2,0.495,26.6,13.6,28.1,1.4,12.7,7.1,13.74,33.6,1.1
"Evan Turner, BOS",75,27.7,0.509,26.7,12.2,19.0,2.3,16.5,9.3,13.73,100.4,3.3
"Terrence Jones, HOU",49,21.2,0.519,8.1,9.5,18.0,6.4,15.8,11.1,13.70,34.1,1.1
"Jamal Crawford, LAC",75,26.8,0.523,13.4,8.2,23.1,0.9,6.4,3.7,13.69,95.7,3.2
"Gary Neal, WSH",40,20.2,0.558,11.1,6.8,19.1,1.5,10.3,5.8,13.66,0.0,0.0
"Mike Muscala, ATL",56,9.6,0.581,14.7,12.4,14.5,7.3,15.0,11.2,13.62,17.0,0.6
"Eric Gordon, NO",45,32.9,0.565,15.1,9.1,19.3,0.7,6.9,3.7,13.59,68.2,2.3
"Bobby Portis, CHI",55,17.3,0.467,9.0,9.4,19.6,11.0,20.0,15.6,13.57,29.4,1.0
"Alex Len, PHX",71,22.6,0.495,9.6,15.2,19.6,10.9,26.0,18.3,13.56,71.0,2.4
"Lance Stephenson, LAC/MEM",63,19.0,0.556,17.7,13.2,14.5,3.4,15.6,9.4,13.56,54.7,1.8
"Kris Humphries, ATL/PHX/WSH",47,16.5,0.525,8.5,9.3,18.9,0.0,0.0,0.0,13.50,23.2,0.8
"Devin Harris, DAL",58,19.5,0.561,20.3,10.3,16.8,1.6,10.1,5.9,13.49,42.1,1.4
"Channing Frye, CLE/ORL",63,16.8,0.598,15.8,9.0,17.2,3.4,18.6,10.9,13.35,29.2,1.0
"Shane Larkin, BKN",71,21.6,0.522,32.5,14.3,18.6,1.2,9.9,5.5,13.34,53.8,1.8
"Larry Nance Jr., LAL",57,20.2,0.539,10.3,10.0,12.0,8.5,18.4,13.3,13.27,30.3,1.0
"Gerald Henderson, POR",67,19.6,0.529,10.3,9.1,19.1,2.3,14.3,8.3,13.26,54.1,1.8
"Alexis Ajinca, NO",54,13.4,0.499,6.9,11.3,18.1,9.1,26.0,17.2,13.18,27.9,0.9
"Thomas Robinson, BKN",66,12.0,0.437,10.4,16.0,17.8,14.7,28.5,21.6,13.14,19.4,0.6
"C.J. Miles, IND",59,23.1,0.529,8.0,8.9,21.1,2.0,11.1,6.6,13.13,53.4,1.8
"George Hill, IND",68,34.5,0.550,22.5,8.7,15.6,2.5,10.3,6.4,13.11,73.9,2.5
"Avery Bradley, BOS",70,33.6,0.537,11.8,8.5,18.9,1.9,7.0,4.4,13.04,71.5,2.4
"Kent Bazemore, ATL",70,27.6,0.547,15.1,12.2,18.5,1.5,17.4,9.6,13.01,72.6,2.4
"Jeff Green, LAC/MEM",73,28.6,0.512,12.0,8.1,17.5,3.6,13.5,8.4,12.97,77.0,2.6
"Thabo Sefolosha, ATL",69,23.5,0.585,17.8,11.2,11.9,3.5,17.5,10.6,12.96,59.5,2.0
"Robert Covington, PHI",60,27.6,0.542,9.3,14.9,19.7,3.5,21.2,12.1,12.90,59.3,2.0
"Mo Williams, CLE",38,18.9,0.533,20.8,12.1,22.7,0.9,9.9,5.4,12.80,19.3,0.6
"Darrell Arthur, DEN",69,21.8,0.518,14.4,9.9,16.0,6.3,15.4,10.7,12.74,27.9,0.9
"Andre Iguodala, GS",60,26.8,0.572,31.2,10.9,12.5,3.5,12.3,8.1,12.70,52.8,1.8
"Maurice Harkless, POR",72,17.8,0.542,11.7,11.3,14.7,6.9,13.4,10.1,12.69,42.1,1.4
"Trevor Ariza, HOU",75,35.3,0.543,15.0,9.2,15.1,2.5,11.7,7.1,12.69,86.3,2.9
"Kentavious Caldwell-Pope, DET",70,36.7,0.518,11.1,7.9,17.7,2.7,8.8,5.6,12.64,81.9,2.7
"Marcus Morris, DET",74,35.7,0.529,14.3,9.6,17.9,3.1,12.3,7.5,12.64,44.8,1.5
"Gary Harris, DEN",71,32.1,0.561,13.5,9.4,15.9,2.5,7.5,4.9,12.59,71.0,2.4
"Patrick Beverley, HOU",65,28.5,0.550,23.6,9.9,15.4,3.8,9.5,6.7,12.58,43.9,1.5
"Al-Farouq Aminu, POR",76,28.6,0.525,13.0,11.2,16.2,4.6,18.6,11.6,12.53,65.6,2.2
"Kyle Anderson, SA",71,15.3,0.526,23.5,12.4,14.3,2.5,17.6,10.4,12.52,32.7,1.1
"Jerryd Bayless, MIL",52,28.9,0.568,22.9,10.2,16.3,1.6,9.0,5.3,12.51,33.8,1.1
"Terrence Ross, TOR",65,24.0,0.547,7.2,6.0,16.3,1.3,10.2,5.8,12.45,45.5,1.5
"Lavoy Allen, IND",72,20.5,0.527,14.4,12.8,12.2,11.2,17.9,14.5,12.38,19.3,0.6
"Jose Calderon, NY",72,28.1,0.571,34.6,10.1,13.4,1.2,11.1,6.2,12.37,41.4,1.4
"Devin Booker, PHX",69,27.1,0.545,15.2,11.7,21.7,1.4,8.5,4.8,12.35,51.7,1.7
"Tony Allen, MEM",60,25.3,0.501,10.5,11.3,15.5,6.6,14.0,10.2,12.34,41.6,1.4
"Allen Crabbe, POR",75,26.0,0.570,11.1,7.2,15.7,1.4,9.9,5.6,12.33,53.5,1.8
"Kevin Garnett, MIN",38,14.6,0.491,30.7,7.9,11.6,3.2,27.9,15.6,12.33,6.9,0.2
"Jerami Grant, PHI",70,26.5,0.502,14.0,11.6,16.5,5.0,14.6,9.7,12.32,50.6,1.7
"Ryan Hollins, WSH/MEM",35,13.1,0.636,7.6,18.3,8.1,11.3,13.2,12.2,12.26,11.4,0.4
"Seth Curry, SAC",37,12.6,0.591,14.5,10.2,15.4,1.4,7.6,4.5,12.24,12.0,0.4
"Leandro Barbosa, GS",62,15.8,0.545,16.2,9.5,17.3,2.8,8.1,5.6,12.20,24.9,0.8
"Cory Joseph, TOR",73,25.7,0.508,24.2,10.1,17.0,2.2,9.5,5.9,12.19,33.3,1.1
"Frank Kaminsky III, CHA",73,20.8,0.506,13.6,8.0,15.9,4.3,16.8,10.5,12.10,34.0,1.1
"Harrison Barnes, GS",59,30.7,0.544,14.0,6.3,14.9,4.5,12.2,8.5,12.09,43.1,1.4
"Ian Patrick Clark, GS",61,9.1,0.549,19.4,13.2,19.2,2.7,9.9,6.5,12.02,12.6,0.4
"Josh Richardson, MIA",44,19.3,0.583,18.0,8.8,13.4,1.9,8.6,5.4,12.02,19.2,0.6
"Courtney Lee, MEM/CHA",71,29.4,0.566,14.5,8.4,14.7,1.3,8.8,5.0,11.98,46.1,1.5
"Andrea Bargnani, BKN",46,13.8,0.500,5.2,7.5,21.4,4.9,12.4,8.6,11.98,0.0,0.0
"J.R. Smith, CLE",71,30.6,0.530,11.9,5.6,17.1,2.0,8.4,5.2,11.95,46.8,1.6
"Raymond Felton, DAL",74,27.4,0.506,24.5,10.1,17.5,1.8,11.0,6.4,11.91,27.4,0.9
"Matt Barnes, MEM",69,28.3,0.504,15.8,11.7,17.2,4.4,17.9,10.9,11.88,40.2,1.3
"Spencer Hawes, CHA",50,18.7,0.501,21.9,11.6,16.4,4.8,20.9,12.7,11.84,4.8,0.2
"Vince Carter, MEM",53,16.1,0.516,11.1,8.3,17.3,2.8,13.8,8.1,11.84,17.0,0.6
"James Johnson, TOR",55,16.0,0.541,17.2,14.0,15.3,3.7,11.8,7.8,11.83,4.3,0.1
"Aaron Brooks, CHI",63,16.2,0.485,23.7,10.3,23.2,2.1,7.8,5.0,11.75,11.4,0.4
"Roy Hibbert, LAL",74,23.4,0.518,14.6,11.8,12.6,7.3,15.8,11.4,11.73,29.3,1.0
"Markieff Morris, PHX/WSH",59,25.0,0.482,12.2,13.8,25.1,4.9,19.3,11.9,11.72,4.9,0.2
"Justin Anderson, DAL",48,9.6,0.510,9.4,10.0,15.7,2.4,18.4,10.4,11.66,8.0,0.3
"Glenn Robinson III, IND",41,11.3,0.509,11.7,8.0,14.9,2.6,12.7,7.7,11.66,8.0,0.3
"Joe Johnson, MIA/BKN",73,33.6,0.532,23.1,11.3,16.7,2.0,10.6,6.3,11.65,42.1,1.4
"Rodney Stuckey, IND",51,22.2,0.490,18.9,10.6,19.4,1.5,11.6,6.5,11.61,10.2,0.3
"E'Twaun Moore, CHI",57,21.1,0.554,17.8,9.6,15.5,1.6,9.3,5.5,11.59,19.6,0.7
"Langston Galloway, NY",76,24.5,0.496,22.1,6.8,15.2,2.3,13.3,7.9,11.58,29.9,1.0
"Jonathon Simmons, SA",52,14.3,0.582,15.6,13.7,17.7,2.2,10.3,6.4,11.56,11.7,0.4
"Charlie Villanueva, DAL",57,11.0,0.469,5.7,8.2,22.8,4.0,20.9,12.5,11.48,-0.2,0.0
"Kevin Martin, MIN/SA",50,19.9,0.516,9.7,8.4,21.8,1.4,9.5,5.5,11.47,14.4,0.5
"Matthew Dellavedova, CLE",69,25.1,0.531,33.8,11.6,16.9,1.8,7.6,4.7,11.46,11.8,0.4
"Tim Hardaway Jr., ATL",45,17.0,0.556,14.6,6.8,15.0,1.0,9.9,5.6,11.41,10.5,0.3
"Meyers Leonard, POR",61,21.9,0.561,14.7,12.3,16.9,4.1,21.4,12.7,11.41,-1.8,-0.1
"DeMarre Carroll, TOR",23,32.0,0.485,7.3,8.3,17.4,4.4,12.7,8.6,11.40,9.9,0.3
"Tim Frazier, NO/POR",44,11.5,0.515,29.4,16.8,22.9,3.8,12.7,8.2,11.39,2.9,0.1
"Anderson Varejao, CLE/GS",49,9.6,0.480,17.6,11.4,14.3,8.2,21.8,15.2,11.35,-1.0,0.0
"Jared Dudley, WSH",74,26.5,0.599,21.1,10.3,12.3,2.8,12.4,7.5,11.32,23.9,0.8
"Marcus Smart, BOS",54,27.1,0.458,20.0,9.1,17.7,4.8,12.0,8.3,11.28,6.2,0.2
"Arron Afflalo, NY",65,33.8,0.534,13.0,7.6,17.2,1.1,11.1,6.1,11.15,21.4,0.7
"Marcelo Huertas, LAL",46,14.8,0.506,36.2,16.4,18.1,2.3,9.2,5.6,11.15,1.5,0.1
"Doug McDermott, CHI",74,23.2,0.561,7.0,6.7,16.2,2.2,8.8,5.6,11.07,14.5,0.5
"Wesley Matthews, DAL",71,33.4,0.533,13.7,6.7,16.0,1.2,8.8,5.0,11.05,19.3,0.6
"Trey Lyles, UTAH",73,16.4,0.511,10.3,11.3,16.2,5.4,20.0,12.7,11.04,-8.3,-0.3
"Bojan Bogdanovic, BKN",74,26.7,0.558,10.0,11.5,17.8,2.0,11.8,6.8,11.00,14.6,0.5
"Kevin Seraphin, NY",44,10.6,0.429,16.6,14.1,21.6,7.1,17.4,12.3,10.99,2.7,0.1
"Wesley Johnson, LAC",75,20.7,0.514,8.0,8.8,14.7,2.4,14.1,8.3,10.98,11.1,0.4
"Donatas Motiejunas, HOU",32,14.5,0.513,11.2,14.6,21.0,6.9,15.1,11.0,10.98,-3.6,-0.1
"Isaiah Canaan, PHI",74,25.4,0.527,13.4,9.2,18.6,1.1,8.7,4.8,10.97,-1.0,0.0
"Austin Rivers, LAC",62,21.9,0.530,13.2,8.8,17.7,1.5,8.0,4.8,10.95,-1.0,0.0
"Norris Cole, NO",45,26.6,0.465,22.1,9.9,21.3,0.9,13.5,7.0,10.91,-1.5,-0.1
"Markel Brown, BKN",55,14.5,0.504,18.9,10.6,17.6,2.4,10.6,6.5,10.86,4.3,0.1
"Solomon Hill, IND",52,12.7,0.502,19.6,8.9,11.7,5.6,14.3,10.0,10.81,3.0,0.1
"Patrick Patterson, TOR",72,25.4,0.545,13.5,9.6,12.3,4.3,15.3,9.9,10.77,-20.1,-0.7
"Omer Asik, NO",62,17.3,0.535,8.0,17.5,10.0,11.0,29.0,19.7,10.70,1.7,0.1
"Danny Green, SA",73,26.2,0.497,17.9,9.5,14.0,2.7,13.7,8.4,10.69,5.4,0.2
"Archie Goodwin, PHX",51,19.5,0.493,15.8,13.4,22.0,2.6,12.0,7.2,10.68,2.7,0.1
"Chase Budinger, IND/PHX",60,14.4,0.506,16.5,10.9,14.3,4.9,12.9,8.9,10.61,1.4,0.0
"Raul Neto, UTAH",74,19.0,0.539,23.5,14.7,17.1,1.3,7.8,4.6,10.50,-10.6,-0.4
"Lance Thomas, NY",59,22.3,0.557,9.7,10.5,15.9,2.9,8.0,5.5,10.49,-0.1,0.0
"Luke Babbitt, NO",41,16.0,0.521,11.7,6.2,15.3,2.9,16.8,9.6,10.49,-0.1,0.0
"Jonas Jerebko, BOS",71,14.7,0.534,14.3,11.8,13.2,7.0,18.8,12.8,10.46,-16.2,-0.5
"Anthony Tolliver, DET",65,18.8,0.540,12.8,5.9,11.8,3.0,16.5,9.5,10.37,-20.7,-0.7
"P.J. Tucker, PHX",75,30.7,0.500,19.1,11.8,12.0,6.5,14.8,10.6,10.36,-4.7,-0.2
"Corey Brewer, HOU",76,20.8,0.488,13.6,9.5,17.1,2.5,10.6,6.5,10.35,-3.5,-0.1
"Brandon Rush, GS",65,15.2,0.556,16.3,8.4,11.9,2.3,15.1,9.1,10.33,-2.5,-0.1
"Anthony Morrow, OKC",62,13.3,0.536,5.9,4.4,15.6,1.4,5.7,3.6,10.32,-2.2,-0.1
"Wayne Ellington, BKN",69,21.0,0.504,11.0,6.1,16.2,1.2,11.2,6.2,10.31,-4.0,-0.1
"Ronnie Price, PHX",55,18.4,0.530,26.2,11.6,14.0,2.0,6.8,4.4,10.27,-11.1,-0.4
"Jerian Grant, NY",70,15.4,0.460,25.9,12.4,18.7,1.9,10.2,6.1,10.27,-11.8,-0.4
"Josh Smith, HOU/LAC",50,15.9,0.421,15.8,13.8,22.7,7.0,18.0,12.5,10.21,-4.6,-0.2
"Pablo Prigioni, LAC",53,12.8,0.499,40.4,15.3,11.0,5.2,9.7,7.5,10.19,-8.2,-0.3
"Kyle Korver, ATL",74,29.8,0.576,18.4,10.8,13.3,0.7,11.2,6.1,10.15,-11.6,-0.4
"Josh McRoberts, MIA",38,14.2,0.466,29.6,11.1,14.8,4.1,15.2,9.8,10.13,-11.1,-0.4
"Jason Terry, HOU",66,17.4,0.546,18.4,9.5,14.5,1.2,5.8,3.5,10.09,-7.1,-0.2
"Richard Jefferson, CLE",69,17.5,0.597,13.0,9.7,12.9,1.2,9.4,5.3,10.01,-8.9,-0.3
"Norman Powell, TOR",41,11.5,0.461,12.9,8.6,16.6,3.4,14.9,9.2,10.00,-3.5,-0.1
"Andre Roberson, OKC",65,22.3,0.556,12.5,9.5,8.9,5.8,10.8,8.4,9.90,-12.9,-0.4
"Joe Ingles, UTAH",74,15.1,0.557,21.1,14.5,13.4,1.9,12.9,7.4,9.83,-11.1,-0.4
"Emmanuel Mudiay, DEN",63,30.2,0.428,23.8,13.7,25.7,1.8,10.9,6.3,9.66,-37.9,-1.3
"Jameer Nelson, DEN",39,26.6,0.464,32.8,11.4,17.4,2.0,10.5,6.2,9.57,-22.1,-0.7
"Beno Udrih, MIA/MEM",44,16.1,0.496,30.9,14.1,16.2,1.3,10.0,5.8,9.54,0.0,0.0
"Shabazz Napier, ORL",53,11.0,0.456,27.0,12.9,20.0,1.7,8.8,5.2,9.51,-13.0,-0.4
"Marco Belinelli, SAC",68,24.6,0.500,14.1,8.9,18.8,0.7,6.9,3.8,9.50,-25.0,-0.8
"Nemanja Bjelica, MIN",53,17.0,0.550,20.5,12.1,12.4,4.9,16.6,10.8,9.45,-27.5,-0.9
"Ty Lawson, HOU/IND",60,21.3,0.481,31.1,13.6,15.5,1.7,7.2,4.4,9.45,-29.5,-1.0
"Sasha Vujacic, NY",55,13.5,0.463,19.8,10.8,16.4,3.3,14.2,8.8,9.41,-12.2,-0.4
"Gerald Green, MIA",62,23.2,0.480,7.9,6.9,18.1,1.9,9.8,6.0,9.29,-26.0,-0.9
"Nik Stauskas, PHI",67,24.0,0.522,16.4,11.9,15.7,1.3,10.3,5.6,9.24,-30.3,-1.0
"Nick Young, LAL",54,19.1,0.483,7.2,6.4,17.3,1.4,9.0,5.1,9.18,-20.4,-0.7
"Garrett Temple, WSH",73,24.8,0.518,17.9,7.7,13.2,1.9,10.2,6.0,9.17,-36.0,-1.2
"Hollis Thompson, PHI",71,28.0,0.527,10.8,9.0,14.8,2.7,11.9,7.1,9.16,-39.8,-1.3
"Ray McCallum, SA/MEM",41,11.6,0.449,25.4,10.1,14.9,1.9,9.3,5.6,9.14,-13.2,-0.4
"Stanley Johnson, DET",68,23.4,0.472,13.7,13.2,19.0,3.5,16.6,9.8,9.13,-32.5,-1.1
"Dion Waiters, OKC",72,27.5,0.491,14.4,11.4,17.0,1.9,8.2,5.2,9.08,-42.1,-1.4
"Mike Dunleavy, CHI",25,22.8,0.541,15.1,10.8,14.5,1.5,11.6,6.7,8.96,-13.2,-0.4
"Mario Hezonja, ORL",72,16.9,0.528,15.7,15.5,16.5,2.4,11.9,7.1,8.67,-33.2,-1.1
"Iman Shumpert, CLE",50,24.1,0.471,19.7,11.5,13.1,2.9,14.8,8.9,8.66,-33.1,-1.1
"Kelly Oubre Jr., WSH",59,9.8,0.510,4.9,12.4,15.8,4.6,18.5,11.4,8.62,-16.3,-0.5
"Noah Vonleh, POR",72,15.5,0.471,8.0,12.7,12.3,8.5,19.5,14.0,8.60,-48.1,-1.6
"Ben McLemore, SAC",61,20.5,0.532,11.9,14.8,16.4,2.5,8.1,5.3,8.57,-36.1,-1.2
"Alonzo Gee, NO",73,22.4,0.572,17.5,13.4,8.8,3.9,13.0,8.3,8.48,-49.2,-1.6
"Justise Winslow, MIA",71,28.8,0.498,16.5,13.7,11.9,3.9,15.9,10.1,8.46,-62.4,-2.1
"Steve Blake, DET",51,16.8,0.486,36.7,16.3,16.1,1.1,8.9,4.8,8.46,-32.5,-1.1
"Chris Johnson, UTAH",65,12.4,0.477,15.5,13.1,13.2,3.9,14.4,9.2,8.36,-25.8,-0.9
"Dante Cunningham, NO",73,23.8,0.529,13.2,7.3,9.6,3.4,11.1,7.1,8.24,-84.6,-2.8
"C.J. Watson, ORL",28,20.1,0.424,33.9,8.6,12.9,1.7,10.0,5.8,8.10,-24.4,-0.8
"Paul Pierce, LAC",64,17.8,0.480,13.4,10.1,16.3,1.2,15.7,8.5,8.05,-41.6,-1.4
"O.J. Mayo, MIL",41,26.6,0.474,22.3,13.6,16.8,1.4,9.5,5.5,7.78,-44.2,-1.5
"JaKarr Sampson, DEN/PHI",68,15.6,0.499,9.7,15.4,13.0,3.9,14.5,9.1,7.72,-44.1,-1.5
"Randy Foye, DEN/OKC",75,20.3,0.458,21.6,11.0,16.8,1.7,9.1,5.4,7.61,-65.7,-2.2
"Nick Collison, OKC",55,11.6,0.493,20.8,21.8,10.7,11.6,14.9,13.3,7.51,-38.2,-1.3
"Kirk Hinrich, ATL/CHI",43,14.4,0.507,30.4,12.7,10.9,1.4,10.1,5.9,7.35,-29.1,-1.0
"Justin Holiday, ATL/CHI",46,12.8,0.447,14.2,11.8,14.2,1.8,10.6,6.3,7.26,-28.6,-1.0
"Metta World Peace, LAL",31,16.6,0.407,11.9,6.7,15.0,3.6,12.7,8.0,7.09,-26.3,-0.9
"Luc Richard Mbah a Moute, LAC",68,16.7,0.487,9.7,12.2,8.9,5.7,9.3,7.5,7.02,-76.0,-2.5
"P.J. Hairston, MEM/CHA",62,20.2,0.473,7.6,8.0,17.7,2.2,12.5,7.3,7.00,-65.4,-2.2
"Johnny O'Bryant III, MIL",60,12.6,0.413,11.7,10.9,12.8,8.7,13.9,11.3,6.52,-56.1,-1.9
"Tayshaun Prince, MIN",71,19.4,0.472,21.1,7.7,7.8,2.6,9.0,5.8,6.44,-83.6,-2.8
"Kyle Singler, OKC",62,14.3,0.466,7.8,10.4,11.4,6.1,9.5,7.9,6.40,-54.1,-1.8
"Tony Snell, CHI",62,19.9,0.474,13.4,11.4,13.1,1.6,14.1,8.0,6.27,-77.8,-2.6
"Anthony Brown, LAL",29,20.7,0.427,11.3,8.9,10.4,1.6,11.4,6.3,4.97,-49.5,-1.6
"James Anderson, SAC",44,12.0,0.456,13.6,15.3,11.7,2.1,10.4,6.3,4.88,-44.3,-1.5
"Rashad Vaughn, MIL",63,12.3,0.404,11.8,9.8,12.3,1.3,8.8,5.1,3.90,-76.6,-2.6
"Sonny Weems, PHI/PHX",43,11.6,0.459,23.7,19.8,13.3,1.5,10.3,5.8,3.80,0.0,0.0