Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
1,Stephen Curry,2015-16,27,GSW,NBA,72,72,34.0,10.1,20.1,5.1,9.0,5.0,11.1,4.7,5.2,0.9,4.5,5.4,6.5,2.2,0.2,3.3,2.0,30.0,.505,.568,.454,.630,.901,.670,2451
2,Kevin Durant,2013-14,25,OKC,NBA,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,.503,.549,.391,.560,.873,.635,3122
3,Adrian Dantley*,1980-81,24,UTA,NBA,80,,42.7,11.4,20.3,11.3,20.3,0.0,0.1,7.9,9.8,2.4,4.0,6.4,4.0,1.4,0.2,3.5,3.1,30.7,.559,.560,.286,.559,.806,.622,3417
4,Kiki Vandeweghe,1983-84,25,DEN,NBA,78,71,35.1,11.5,20.6,11.3,20.2,0.1,0.4,6.3,7.4,1.1,3.7,4.8,3.1,0.7,0.6,2.0,2.4,29.4,.558,.562,.367,.562,.852,.618,2734
5,Michael Jordan*,1988-89,25,CHI,NBA,81,81,40.2,11.9,22.2,11.6,21.0,0.3,1.2,8.3,9.8,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,.538,.553,.276,.546,.850,.614,3255
6,Larry Bird*,1986-87,30,BOS,NBA,74,73,40.6,10.6,20.2,9.4,17.2,1.2,3.0,5.6,6.1,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,.525,.547,.400,.555,.910,.612,3005
7,Larry Bird*,1987-88,31,BOS,NBA,76,75,39.0,11.6,22.0,10.3,18.9,1.3,3.1,5.5,6.0,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,.527,.546,.414,.556,.916,.608,2965
8,Kevin Durant,2009-10,21,OKC,NBA,82,82,39.5,9.7,20.3,8.1,16.1,1.6,4.3,9.2,10.2,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,.476,.506,.365,.514,.900,.607,3239
9,Michael Jordan*,1989-90,26,CHI,NBA,82,82,39.0,12.6,24.0,11.5,21.0,1.1,3.0,7.2,8.5,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,.526,.548,.376,.550,.848,.606,3197
10,Kareem Abdul-Jabbar*,1970-71,23,MIL,NBA,82,,40.1,13.0,22.5,13.0,22.5,,,5.7,8.3,,,16.0,3.3,,,,3.2,31.7,.577,.577,,.577,.690,.606,3288
11,Michael Jordan*,1990-91,27,CHI,NBA,82,82,37.0,12.1,22.4,11.7,21.3,0.4,1.1,7.0,8.2,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,.539,.551,.312,.547,.851,.605,3034
12,LeBron James,2009-10,25,CLE,NBA,76,76,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,.503,.560,.333,.545,.767,.604,2966
13,Michael Jordan*,1987-88,24,CHI,NBA,82,82,40.4,13.0,24.4,13.0,23.7,0.1,0.6,8.8,10.5,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,.535,.546,.132,.537,.841,.603,3311
14,Kareem Abdul-Jabbar*,1971-72,24,MIL,NBA,81,,44.2,14.3,24.9,14.3,24.9,,,6.2,9.0,,,16.6,4.6,,,,2.9,34.8,.574,.574,,.574,.689,.603,3583
15,Patrick Ewing*,1989-90,27,NYK,NBA,82,82,38.6,11.2,20.4,11.2,20.4,0.0,0.0,6.1,7.9,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6,.551,.552,.250,.551,.775,.599,3165
16,Bob McAdoo*,1973-74,22,BUF,NBA,74,,43.0,12.2,22.3,12.2,22.3,,,6.2,7.8,3.8,11.3,15.1,2.3,1.2,3.3,,3.4,30.6,.547,.547,,.547,.793,.594,3185
17,George Gervin*,1978-79,26,SAS,NBA,80,,36.1,11.8,21.9,11.8,21.9,,,5.9,7.1,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,.541,.541,,.541,.826,.591,2888
18,Dale Ellis,1988-89,28,SEA,NBA,82,82,38.9,10.5,20.9,8.5,16.7,2.0,4.1,4.6,5.6,1.9,2.3,4.2,2.0,1.3,0.3,2.7,2.4,27.5,.501,.507,.478,.549,.816,.589,3190
19,Oscar Robertson*,1967-68,29,CIN,NBA,65,,42.5,10.2,20.3,10.2,20.3,,,8.9,10.2,,,6.0,9.7,,,,3.1,29.2,.500,.500,,.500,.873,.588,2765
20,Shaquille O'Neal,1994-95,22,ORL,NBA,79,79,37.0,11.8,20.2,11.8,20.1,0.0,0.1,5.8,10.8,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,.583,.585,.000,.583,.533,.588,2923
21,George Gervin*,1979-80,27,SAS,NBA,78,,37.6,13.1,24.9,12.7,23.6,0.4,1.3,6.5,7.6,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,.528,.540,.314,.536,.852,.587,2934
22,Larry Bird*,1984-85,28,BOS,NBA,80,77,39.5,11.5,22.0,10.8,20.4,0.7,1.6,5.0,5.7,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,.522,.529,.427,.538,.882,.585,3161
23,Bernard King*,1984-85,28,NYK,NBA,55,55,37.5,12.6,23.7,12.5,23.5,0.0,0.2,7.7,10.0,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9,.530,.534,.100,.531,.772,.585,2063
24,Oscar Robertson*,1966-67,28,CIN,NBA,79,,43.9,10.6,21.5,10.6,21.5,,,9.3,10.7,,,6.2,10.7,,,,2.9,30.5,.493,.493,,.493,.873,.583,3468
25,Michael Jordan*,1995-96,32,CHI,NBA,82,82,37.7,11.2,22.6,9.8,19.4,1.4,3.2,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,.495,.506,.427,.525,.834,.582,3090
26,Gilbert Arenas,2005-06,24,WAS,NBA,80,80,42.3,9.3,20.9,6.8,14.1,2.5,6.8,8.2,10.0,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,.447,.485,.369,.507,.820,.581,3384
27,Kareem Abdul-Jabbar*,1972-73,25,MIL,NBA,76,,42.8,12.9,23.3,12.9,23.3,,,4.3,6.1,,,16.1,5.0,,,,2.7,30.2,.554,.554,,.554,.713,.580,3254
28,Kobe Bryant,2006-07,28,LAL,NBA,77,77,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,.463,.497,.344,.502,.868,.580,3140
29,Michael Jordan*,1991-92,28,CHI,NBA,80,80,38.8,11.8,22.7,11.5,21.5,0.3,1.3,6.1,7.4,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,.519,.533,.270,.526,.832,.579,3102
30,Chris Mullin*,1992-93,29,GSW,NBA,46,46,41.3,10.3,20.2,9.0,17.3,1.3,2.9,4.0,4.9,0.9,4.1,5.0,3.6,1.5,0.9,3.0,1.7,25.9,.510,.519,.451,.542,.810,.578,1902
31,Shaquille O'Neal,1999-00,27,LAL,NBA,79,79,40.0,12.1,21.1,12.1,21.1,0.0,0.0,5.5,10.4,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,.574,.575,.000,.574,.524,.578,3163
32,David Robinson*,1993-94,28,SAS,NBA,80,80,40.5,10.5,20.7,10.4,20.4,0.1,0.4,8.7,11.6,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,.507,.510,.345,.510,.749,.577,3241
33,Moses Malone*,1981-82,26,HOU,NBA,81,81,42.0,11.7,22.5,11.7,22.4,0.0,0.1,7.8,10.2,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1,.519,.520,.000,.519,.762,.576,3398
34,Kobe Bryant,2007-08,29,LAL,NBA,82,82,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,.459,.490,.361,.503,.840,.576,3192
35,Oscar Robertson*,1963-64,25,CIN,NBA,79,,45.1,10.6,22.0,10.6,22.0,,,10.1,11.9,,,9.9,11.0,,,,3.5,31.4,.483,.483,,.483,.853,.576,3559
36,Dwyane Wade,2008-09,27,MIA,NBA,79,79,38.6,10.8,22.0,9.7,18.5,1.1,3.5,7.5,9.8,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,.491,.524,.317,.516,.765,.574,3048
37,Jerry West*,1965-66,27,LAL,NBA,79,,40.7,10.4,21.9,10.4,21.9,,,10.6,12.4,,,7.1,6.1,,,,3.1,31.3,.473,.473,,.473,.860,.573,3218
38,Dale Ellis,1987-88,27,SEA,NBA,75,73,37.2,10.2,20.3,8.8,16.8,1.4,3.5,4.0,5.3,2.2,2.3,4.5,2.6,1.0,0.1,2.3,2.9,25.8,.503,.521,.413,.538,.767,.572,2790
39,Jerry West*,1964-65,26,LAL,NBA,74,,41.4,11.1,22.4,11.1,22.4,,,8.8,10.7,,,6.0,4.9,,,,3.0,31.0,.497,.497,,.497,.821,.572,3066
40,Jerry West*,1969-70,31,LAL,NBA,74,,42.0,11.2,22.6,11.2,22.6,,,8.7,10.6,,,4.6,7.5,,,,2.2,31.2,.497,.497,,.497,.824,.572,3106
41,Mark Aguirre,1983-84,24,DAL,NBA,79,79,36.7,11.7,22.3,11.5,21.6,0.2,0.7,5.9,7.9,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5,.524,.532,.268,.528,.749,.572,2900
42,Kobe Bryant,2012-13,34,LAL,NBA,78,78,38.6,9.5,20.4,7.8,15.2,1.7,5.2,6.7,8.0,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,.463,.510,.324,.504,.839,.570,3013
43,Dominique Wilkins*,1992-93,33,ATL,NBA,71,70,37.3,10.4,22.3,8.7,17.9,1.7,4.5,7.3,8.8,2.6,4.2,6.8,3.2,1.0,0.4,2.6,1.6,29.9,.468,.490,.380,.506,.828,.570,2647
44,Alex English*,1983-84,30,DEN,NBA,82,77,35.0,11.1,20.9,11.0,20.8,0.0,0.1,4.3,5.2,2.6,3.0,5.7,5.0,1.0,1.2,2.7,3.1,26.4,.529,.531,.143,.529,.824,.570,2870
45,Bob McAdoo*,1974-75,23,BUF,NBA,82,,43.2,13.4,26.1,13.4,26.1,,,7.8,9.7,3.7,10.3,14.1,2.2,1.1,2.1,,3.4,34.5,.512,.512,,.512,.805,.569,3539
46,LeBron James,2005-06,21,CLE,NBA,79,79,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,.480,.518,.335,.515,.738,.568,3361
47,Julius Erving*,1979-80,29,PHI,NBA,78,,36.1,10.7,20.7,10.7,20.4,0.1,0.3,5.4,6.8,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9,.519,.523,.200,.520,.787,.568,2812
48,LeBron James,2007-08,23,CLE,NBA,75,74,40.4,10.6,21.9,9.1,17.1,1.5,4.8,7.3,10.3,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,.484,.531,.315,.518,.712,.568,3027
49,Karl Malone*,1987-88,24,UTA,NBA,82,82,39.0,10.5,20.1,10.5,20.1,0.0,0.1,6.7,9.6,3.4,8.6,12.0,2.4,1.4,0.6,4.0,3.6,27.7,.520,.522,.000,.520,.700,.568,3198
50,Michael Jordan*,1996-97,33,CHI,NBA,82,82,37.9,11.2,23.1,9.9,19.5,1.4,3.6,5.9,7.0,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,.486,.507,.374,.516,.833,.567,3106
51,Kareem Abdul-Jabbar*,1975-76,28,LAL,NBA,82,,41.2,11.1,21.1,11.1,21.1,,,5.5,7.8,3.3,13.5,16.9,5.0,1.5,4.1,,3.6,27.7,.529,.529,,.529,.703,.567,3379
52,Hakeem Olajuwon*,1993-94,31,HOU,NBA,80,80,41.0,11.2,21.2,11.1,20.9,0.1,0.2,4.9,6.8,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,.528,.529,.421,.530,.716,.565,3277
53,Gilbert Arenas,2006-07,25,WAS,NBA,74,73,39.8,8.7,20.9,6.0,13.0,2.8,7.9,8.2,9.7,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,.418,.459,.351,.484,.844,.565,2942
54,Tracy McGrady,2002-03,23,ORL,NBA,75,74,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,.457,.481,.386,.505,.793,.564,2954
55,Ray Allen,2006-07,31,SEA,NBA,55,55,40.3,9.2,21.0,6.2,12.9,3.0,8.1,5.1,5.6,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,.438,.479,.372,.510,.903,.564,2219
56,Clyde Drexler*,1987-88,25,POR,NBA,81,80,37.8,10.5,20.7,10.3,20.1,0.1,0.6,5.9,7.2,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,.506,.515,.212,.509,.811,.564,3060
57,Michael Jordan*,1992-93,29,CHI,NBA,78,78,39.3,12.7,25.7,11.7,22.7,1.0,2.9,6.1,7.3,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,.495,.514,.352,.515,.837,.564,3067
58,Kareem Abdul-Jabbar*,1973-74,26,MIL,NBA,81,,43.8,11.7,21.7,11.7,21.7,,,3.6,5.2,3.5,11.0,14.5,4.8,1.4,3.5,,2.9,27.0,.539,.539,,.539,.702,.564,3548
59,Oscar Robertson*,1965-66,27,CIN,NBA,76,,46.0,10.8,22.7,10.8,22.7,,,9.8,11.6,,,7.7,11.1,,,,3.0,31.3,.475,.475,,.475,.842,.563,3493
60,Kobe Bryant,2004-05,26,LAL,NBA,66,66,40.7,8.7,20.1,6.7,14.2,2.0,5.9,8.2,10.1,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,.433,.472,.339,.482,.816,.563,2689
61,Hakeem Olajuwon*,1994-95,32,HOU,NBA,72,72,39.6,11.1,21.5,11.0,21.2,0.0,0.2,5.6,7.5,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,.517,.520,.188,.517,.756,.563,2853
62,George Gervin*,1981-82,29,SAS,NBA,79,79,35.7,12.6,25.2,12.4,24.7,0.1,0.5,7.0,8.1,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3,.500,.504,.278,.502,.864,.562,2817
63,Michael Jordan*,1986-87,23,CHI,NBA,82,82,40.0,13.4,27.8,13.2,27.0,0.1,0.8,10.2,11.9,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,.482,.491,.182,.484,.857,.562,3281
64,Alex English*,1985-86,32,DEN,NBA,81,81,37.3,11.7,23.3,11.7,23.2,0.0,0.1,6.3,7.3,2.4,2.6,5.0,4.0,0.9,0.4,3.1,2.9,29.8,.504,.505,.200,.504,.862,.562,3024
65,Jerry West*,1963-64,25,LAL,NBA,72,,40.4,10.3,21.2,10.3,21.2,,,8.1,9.8,,,6.0,5.6,,,,2.8,28.7,.484,.484,,.484,.832,.562,2906
66,Carmelo Anthony,2013-14,29,NYK,NBA,77,77,38.7,9.6,21.3,7.5,15.9,2.2,5.4,6.0,7.0,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,.452,.469,.402,.503,.848,.561,2982
67,Kobe Bryant,2008-09,30,LAL,NBA,82,82,36.1,9.8,20.9,8.3,16.8,1.4,4.1,5.9,6.9,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,.467,.496,.351,.502,.856,.561,2960
68,Oscar Robertson*,1964-65,26,CIN,NBA,75,,45.6,10.8,22.4,10.8,22.4,,,8.9,10.6,,,9.0,11.5,,,,2.7,30.4,.480,.480,,.480,.839,.561,3421
69,Alex English*,1984-85,31,DEN,NBA,81,81,36.1,11.6,22.4,11.6,22.3,0.0,0.1,4.7,5.7,2.5,3.1,5.7,4.2,1.2,0.6,3.1,3.2,27.9,.518,.519,.200,.518,.829,.561,2924
70,Patrick Ewing*,1990-91,28,NYK,NBA,81,81,38.3,10.4,20.3,10.4,20.2,0.0,0.1,5.7,7.7,2.4,8.8,11.2,3.0,1.0,3.2,3.6,3.5,26.6,.514,.516,.000,.514,.745,.561,3104
71,Alex English*,1982-83,29,DEN,NBA,82,82,36.4,11.7,22.6,11.7,22.5,0.0,0.1,5.0,6.0,3.2,4.1,7.3,4.8,1.4,1.5,3.2,2.9,28.4,.516,.519,.167,.517,.829,.561,2988
72,Carmelo Anthony,2012-13,28,NYK,NBA,67,67,37.0,10.0,22.2,7.6,16.0,2.3,6.2,6.3,7.6,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,.449,.476,.379,.502,.830,.560,2482
73,Jerry West*,1966-67,28,LAL,NBA,66,,40.5,9.8,21.0,9.8,21.0,,,9.1,10.4,,,5.9,6.8,,,,2.4,28.7,.464,.464,,.464,.878,.559,2670
74,Kobe Bryant,2005-06,27,LAL,NBA,80,80,41.0,12.2,27.2,10.0,20.7,2.3,6.5,8.7,10.2,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,.450,.482,.347,.491,.850,.559,3277
75,Hakeem Olajuwon*,1995-96,33,HOU,NBA,72,72,38.8,10.7,20.8,10.6,20.6,0.0,0.2,5.5,7.6,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,.514,.517,.214,.515,.724,.558,2797
76,Bob McAdoo*,1976-77,25,TOT,NBA,72,,38.9,10.3,20.1,10.3,20.1,,,5.3,7.2,2.8,10.1,12.9,2.8,1.1,1.4,,3.6,25.8,.512,.512,,.512,.738,.557,2798
77,Dominique Wilkins*,1989-90,30,ATL,NBA,80,79,36.1,10.1,20.9,9.4,18.6,0.7,2.3,5.7,7.1,2.7,3.8,6.5,2.5,1.6,0.6,2.2,1.8,26.7,.484,.504,.322,.502,.807,.556,2888
78,Oscar Robertson*,1960-61,22,CIN,NBA,71,,42.7,10.6,22.5,10.6,22.5,,,9.2,11.2,,,10.1,9.7,,,,3.1,30.5,.473,.473,,.473,.822,.555,3032
79,Dominique Wilkins*,1990-91,31,ATL,NBA,81,81,38.0,9.5,20.2,8.5,17.2,1.0,3.1,5.9,7.1,3.2,5.8,9.0,3.3,1.5,0.8,2.5,1.9,25.9,.470,.492,.341,.495,.829,.555,3078
80,Clyde Drexler*,1988-89,26,POR,NBA,78,78,39.3,10.6,21.4,10.3,20.1,0.3,1.3,5.6,7.0,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2,.496,.511,.260,.504,.799,.555,3064
81,Tiny Archibald*,1972-73,24,KCO,NBA,80,,46.0,12.9,26.3,12.9,26.3,,,8.3,9.8,,,2.8,11.4,,,,2.6,34.0,.488,.488,,.488,.847,.555,3681
82,George Gervin*,1980-81,28,SAS,NBA,82,,33.7,10.4,21.1,10.3,20.7,0.1,0.4,6.2,7.6,1.5,3.6,5.1,3.2,1.1,0.7,3.1,2.6,27.1,.492,.496,.257,.494,.826,.555,2765
83,Walt Bellamy*,1961-62,22,CHP,NBA,79,,42.3,12.3,23.7,12.3,23.7,,,6.9,10.8,,,19.0,2.7,,,,3.6,31.6,.519,.519,,.519,.644,.554,3344
84,Oscar Robertson*,1961-62,23,CIN,NBA,79,,44.3,11.0,22.9,11.0,22.9,,,8.9,11.0,,,12.5,11.4,,,,3.3,30.8,.478,.478,,.478,.803,.554,3503
85,LeBron James,2004-05,20,CLE,NBA,80,80,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6.0,8.0,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,.472,.499,.351,.504,.750,.554,3388
86,LeBron James,2006-07,22,CLE,NBA,78,78,40.9,9.9,20.8,8.6,16.8,1.3,4.0,6.3,9.0,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,.476,.513,.319,.507,.698,.552,3190
87,Kareem Abdul-Jabbar*,1969-70,22,MIL,NBA,82,,43.1,11.4,22.1,11.4,22.1,,,5.9,9.1,,,14.5,4.1,,,,3.5,28.8,.518,.518,,.518,.653,.552,3534
88,Carmelo Anthony,2006-07,22,DEN,NBA,65,65,38.2,10.6,22.4,10.0,20.1,0.6,2.3,7.1,8.7,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,.476,.499,.268,.489,.808,.552,2486
89,Kobe Bryant,2000-01,22,LAL,NBA,68,68,40.9,10.3,22.2,9.4,19.3,0.9,2.9,7.0,8.2,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,.464,.489,.305,.484,.853,.552,2783
90,World B. Free,1978-79,25,SDC,NBA,78,,37.9,10.2,21.2,10.2,21.2,,,8.4,11.1,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,.481,.481,,.481,.756,.552,2954
91,Dominique Wilkins*,1991-92,32,ATL,NBA,42,42,38.1,10.1,21.8,9.2,18.7,0.9,3.0,7.0,8.4,2.5,4.6,7.0,3.8,1.2,0.6,2.9,1.8,28.1,.464,.492,.289,.484,.835,.552,1601
92,Vince Carter,2000-01,24,TOR,NBA,75,75,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,.460,.477,.408,.509,.765,.551,2979
93,George Gervin*,1983-84,31,SAS,NBA,76,76,34.0,10.1,20.5,9.9,20.2,0.1,0.3,5.6,6.7,1.4,2.7,4.1,2.9,1.0,0.6,2.9,2.9,25.9,.490,.491,.417,.493,.842,.551,2584
