Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,PER,FGA,MP
172,Elton Brand,2003-04,24,LAC,NBA,69,68,38.7,7.0,14.2,7.0,14.2,0.0,0.0,6.0,7.7,3.9,6.4,10.3,3.3,0.9,2.2,2.8,3.3,20.0,.493,.493,.000,.493,.773,.567,23.2,982,2670
173,Michael Jordan*,1996-97,33,CHI,NBA,82,82,37.9,11.2,23.1,9.9,19.5,1.4,3.6,5.9,7.0,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,.486,.507,.374,.516,.833,.567,27.8,1892,3106
174,Julius Erving*,1982-83,32,PHI,NBA,72,72,33.6,8.4,16.3,8.4,16.2,0.0,0.1,4.6,6.0,2.4,4.4,6.8,3.7,1.6,1.8,2.7,2.8,21.4,.517,.518,.286,.518,.759,.566,23.1,1170,2421
175,Hakeem Olajuwon*,1993-94,31,HOU,NBA,80,80,41.0,11.2,21.2,11.1,20.9,0.1,0.2,4.9,6.8,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,.528,.529,.421,.530,.716,.565,25.3,1694,3277
176,Gilbert Arenas,2006-07,25,WAS,NBA,74,73,39.8,8.7,20.9,6.0,13.0,2.8,7.9,8.2,9.7,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,.418,.459,.351,.484,.844,.565,24.0,1548,2942
177,Grant Hill,1999-00,27,DET,NBA,74,74,37.5,9.4,19.2,8.9,17.9,0.5,1.3,6.5,8.2,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,.489,.500,.347,.501,.795,.565,24.5,1422,2776
178,Tracy McGrady,2002-03,23,ORL,NBA,75,74,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,.457,.481,.386,.505,.793,.564,30.3,1813,2954
179,Dirk Nowitzki,2008-09,30,DAL,NBA,81,81,37.7,9.6,20.0,8.8,17.9,0.8,2.1,6.0,6.7,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,.479,.493,.359,.498,.890,.564,23.1,1616,3050
180,Clyde Drexler*,1987-88,25,POR,NBA,81,80,37.8,10.5,20.7,10.3,20.1,0.1,0.6,5.9,7.2,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,.506,.515,.212,.509,.811,.564,24.1,1679,3060
181,Michael Jordan*,1992-93,29,CHI,NBA,78,78,39.3,12.7,25.7,11.7,22.7,1.0,2.9,6.1,7.3,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,.495,.514,.352,.515,.837,.564,29.7,2003,3067
182,Tim Duncan,2002-03,26,SAS,NBA,81,81,39.3,8.8,17.2,8.7,16.9,0.1,0.3,5.6,7.8,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,.513,.517,.273,.515,.710,.564,26.9,1392,3181
183,Kobe Bryant,2004-05,26,LAL,NBA,66,66,40.7,8.7,20.1,6.7,14.2,2.0,5.9,8.2,10.1,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,.433,.472,.339,.482,.816,.563,23.3,1324,2689
184,Hakeem Olajuwon*,1994-95,32,HOU,NBA,72,72,39.6,11.1,21.5,11.0,21.2,0.0,0.2,5.6,7.5,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,.517,.520,.188,.517,.756,.563,26.0,1545,2853
185,George Gervin*,1981-82,29,SAS,NBA,79,79,35.7,12.6,25.2,12.4,24.7,0.1,0.5,7.0,8.1,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3,.500,.504,.278,.502,.864,.562,24.2,1987,2817
186,Dwyane Wade,2009-10,28,MIA,NBA,77,77,36.3,9.3,19.6,8.4,16.5,0.9,3.2,6.9,9.1,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,.476,.509,.300,.500,.761,.562,28.0,1511,2792
187,Michael Jordan*,1986-87,23,CHI,NBA,82,82,40.0,13.4,27.8,13.2,27.0,0.1,0.8,10.2,11.9,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,.482,.491,.182,.484,.857,.562,29.8,2279,3281
188,Carmelo Anthony,2013-14,29,NYK,NBA,77,77,38.7,9.6,21.3,7.5,15.9,2.2,5.4,6.0,7.0,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,.452,.469,.402,.503,.848,.561,24.4,1643,2982
189,Kobe Bryant,2008-09,30,LAL,NBA,82,82,36.1,9.8,20.9,8.3,16.8,1.4,4.1,5.9,6.9,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,.467,.496,.351,.502,.856,.561,24.4,1712,2960
190,Patrick Ewing*,1990-91,28,NYK,NBA,81,81,38.3,10.4,20.3,10.4,20.2,0.0,0.1,5.7,7.7,2.4,8.8,11.2,3.0,1.0,3.2,3.6,3.5,26.6,.514,.516,.000,.514,.745,.561,23.7,1645,3104
191,Alex English*,1982-83,29,DEN,NBA,82,82,36.4,11.7,22.6,11.7,22.5,0.0,0.1,5.0,6.0,3.2,4.1,7.3,4.8,1.4,1.5,3.2,2.9,28.4,.516,.519,.167,.517,.829,.561,24.1,1857,2988
192,Larry Bird*,1982-83,26,BOS,NBA,79,79,37.7,9.5,18.7,9.2,17.8,0.3,1.0,4.4,5.3,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,.504,.516,.286,.512,.840,.561,24.1,1481,2982
193,Dwyane Wade,2004-05,23,MIA,NBA,77,77,38.6,8.2,17.1,8.0,16.5,0.2,0.6,7.5,9.9,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,.478,.485,.289,.483,.762,.561,23.1,1318,2974
194,Hakeem Olajuwon*,1985-86,23,HOU,NBA,68,68,36.3,9.2,17.5,9.2,17.5,0.0,0.0,5.1,7.9,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5,.526,.526,,.526,.645,.560,24.2,1188,2467
195,Clyde Drexler*,1991-92,29,POR,NBA,76,76,36.2,9.1,19.4,7.6,15.0,1.5,4.4,5.3,6.6,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3.0,25.0,.470,.510,.337,.509,.794,.560,23.6,1476,2751
196,Carmelo Anthony,2012-13,28,NYK,NBA,67,67,37.0,10.0,22.2,7.6,16.0,2.3,6.2,6.3,7.6,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,.449,.476,.379,.502,.830,.560,24.8,1489,2482
197,Tim Duncan,2009-10,33,SAS,NBA,78,77,31.3,7.2,13.9,7.2,13.7,0.0,0.1,3.5,4.8,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,.518,.522,.182,.519,.725,.560,24.7,1082,2438
198,Moses Malone*,1979-80,24,HOU,NBA,82,,38.3,9.5,18.9,9.5,18.8,0.0,0.1,6.9,9.5,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8,.502,.504,.000,.502,.719,.560,24.1,1549,3140
199,Kobe Bryant,2005-06,27,LAL,NBA,80,80,41.0,12.2,27.2,10.0,20.7,2.3,6.5,8.7,10.2,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,.450,.482,.347,.491,.850,.559,28.0,2173,3277
200,David Robinson*,2000-01,35,SAS,NBA,80,80,29.6,5.0,10.3,5.0,10.3,0.0,0.0,4.4,5.9,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,.486,.487,.000,.486,.747,.559,23.7,823,2371
201,Hakeem Olajuwon*,1995-96,33,HOU,NBA,72,72,38.8,10.7,20.8,10.6,20.6,0.0,0.2,5.5,7.6,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,.514,.517,.214,.515,.724,.558,25.5,1494,2797
202,Blake Griffin,2011-12,22,LAC,NBA,66,66,36.2,8.5,15.5,8.5,15.2,0.0,0.2,3.7,7.1,3.3,7.6,10.9,3.2,0.8,0.7,2.3,3.3,20.7,.549,.556,.125,.550,.521,.557,23.4,1022,2392
203,Grant Hill,1996-97,24,DET,NBA,80,80,39.3,7.8,15.7,7.7,15.3,0.1,0.4,5.6,7.9,1.5,7.5,9.0,7.3,1.8,0.6,3.2,2.3,21.4,.496,.502,.303,.500,.711,.556,25.5,1259,3147
204,Dominique Wilkins*,1989-90,30,ATL,NBA,80,79,36.1,10.1,20.9,9.4,18.6,0.7,2.3,5.7,7.1,2.7,3.8,6.5,2.5,1.6,0.6,2.2,1.8,26.7,.484,.504,.322,.502,.807,.556,24.6,1672,2888
205,Tony Parker,2008-09,26,SAS,NBA,72,71,34.1,8.9,17.5,8.6,16.6,0.3,0.9,3.9,5.0,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22.0,.506,.518,.292,.513,.782,.556,23.4,1263,2456
206,DeMarcus Cousins,2013-14,23,SAC,NBA,71,71,32.4,8.3,16.8,8.3,16.7,0.0,0.1,6.1,8.4,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,.496,.499,.000,.496,.726,.555,26.1,1191,2298
207,Dominique Wilkins*,1990-91,31,ATL,NBA,81,81,38.0,9.5,20.2,8.5,17.2,1.0,3.1,5.9,7.1,3.2,5.8,9.0,3.3,1.5,0.8,2.5,1.9,25.9,.470,.492,.341,.495,.829,.555,23.5,1640,3078
208,Hakeem Olajuwon*,1987-88,25,HOU,NBA,79,79,35.8,9.0,17.5,9.0,17.5,0.0,0.1,4.8,6.9,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,.514,.516,.000,.514,.695,.555,23.4,1385,2825
209,Clyde Drexler*,1988-89,26,POR,NBA,78,78,39.3,10.6,21.4,10.3,20.1,0.3,1.3,5.6,7.0,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2,.496,.511,.260,.504,.799,.555,23.6,1672,3064
210,Tim Duncan,1999-00,23,SAS,NBA,74,74,38.9,8.5,17.3,8.5,17.2,0.0,0.1,6.2,8.1,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,.490,.494,.091,.491,.761,.555,24.8,1281,2875
211,Hakeem Olajuwon*,1986-87,24,HOU,NBA,75,75,36.8,9.0,17.8,9.0,17.7,0.0,0.1,5.3,7.6,4.2,7.2,11.4,2.9,1.9,3.4,3.0,3.9,23.4,.508,.509,.200,.509,.702,.554,23.8,1332,2760
212,LeBron James,2004-05,20,CLE,NBA,80,80,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6.0,8.0,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,.472,.499,.351,.504,.750,.554,25.7,1684,3388
213,Tim Duncan,2012-13,36,SAS,NBA,69,69,30.1,7.1,14.1,7.1,14.0,0.0,0.1,3.6,4.3,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,.502,.504,.286,.503,.817,.554,24.4,976,2078
214,Kevin Garnett,2002-03,26,MIN,NBA,82,82,40.5,9.1,18.1,8.8,17.2,0.2,0.9,4.6,6.1,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,.502,.513,.282,.508,.751,.553,26.4,1481,3321
215,Hakeem Olajuwon*,1991-92,29,HOU,NBA,70,69,37.7,8.4,16.8,8.4,16.8,0.0,0.0,4.7,6.1,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6,.502,.503,.000,.502,.766,.553,23.7,1177,2636
216,Russell Westbrook,2015-16,27,OKC,NBA,76,76,34.5,8.3,18.3,7.0,14.1,1.3,4.3,5.8,7.2,1.8,5.9,7.7,10.4,2.1,0.3,4.2,2.5,23.8,.454,.500,.300,.489,.813,.553,27.9,1392,2624
217,LeBron James,2006-07,22,CLE,NBA,78,78,40.9,9.9,20.8,8.6,16.8,1.3,4.0,6.3,9.0,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,.476,.513,.319,.507,.698,.552,24.5,1621,3190
218,Larry Bird*,1983-84,27,BOS,NBA,79,77,38.3,9.6,19.5,9.4,18.6,0.2,0.9,4.7,5.3,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,.492,.504,.247,.497,.888,.552,24.2,1542,3028
219,Kobe Bryant,2000-01,22,LAL,NBA,68,68,40.9,10.3,22.2,9.4,19.3,0.9,2.9,7.0,8.2,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,.464,.489,.305,.484,.853,.552,24.5,1510,2783
220,Hakeem Olajuwon*,1988-89,26,HOU,NBA,82,82,36.9,9.6,19.0,9.6,18.9,0.0,0.1,5.5,8.0,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,.508,.511,.000,.508,.696,.552,25.2,1556,3024
221,Vince Carter,2000-01,24,TOR,NBA,75,75,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,.460,.477,.408,.509,.765,.551,25.0,1656,2979
222,Kobe Bryant,2003-04,25,LAL,NBA,65,64,37.6,7.9,18.1,6.8,14.8,1.1,3.3,7.0,8.2,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24.0,.438,.463,.327,.468,.852,.551,23.7,1178,2447
223,Derrick Rose,2010-11,22,CHI,NBA,81,81,37.4,8.8,19.7,7.2,15.0,1.6,4.8,5.9,6.9,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,.445,.481,.332,.485,.858,.550,23.5,1597,3026
224,Kobe Bryant,2002-03,24,LAL,NBA,82,82,41.5,10.6,23.5,9.1,19.5,1.5,4.0,7.3,8.7,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,.451,.465,.383,.483,.843,.550,26.2,1924,3401
225,Tim Duncan,2008-09,32,SAS,NBA,75,75,33.7,7.4,14.8,7.4,14.7,0.0,0.0,4.5,6.4,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3,.504,.505,.000,.504,.692,.549,24.4,1107,2524
226,Kobe Bryant,2010-11,32,LAL,NBA,82,82,33.9,9.0,20.0,7.6,15.6,1.4,4.3,5.9,7.1,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1,25.3,.451,.487,.323,.487,.828,.548,23.9,1639,2779
227,Kevin Garnett,2003-04,27,MIN,NBA,82,82,39.4,9.8,19.6,9.7,19.1,0.1,0.5,4.5,5.7,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,.499,.506,.256,.502,.791,.547,29.4,1611,3231
228,Kevin Garnett,2006-07,30,MIN,NBA,76,76,39.4,8.4,17.6,8.2,16.9,0.2,0.7,5.5,6.6,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,.476,.487,.214,.480,.835,.546,24.1,1341,2995
229,Tim Duncan,2007-08,31,SAS,NBA,78,78,34.0,7.5,15.1,7.5,15.1,0.0,0.1,4.3,5.9,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,.497,.498,.000,.497,.730,.546,24.4,1178,2651
230,Kevin Garnett,1999-00,23,MIN,NBA,81,81,40.0,9.4,18.8,9.0,17.8,0.4,1.0,3.8,5.0,2.8,9.0,11.8,5.0,1.5,1.6,3.3,2.5,22.9,.497,.504,.370,.507,.765,.545,23.6,1526,3243
231,Moses Malone*,1986-87,31,WSB,NBA,73,70,34.1,8.2,18.0,8.2,17.8,0.0,0.2,7.8,9.5,4.7,6.6,11.3,1.6,0.8,1.3,2.8,1.9,24.1,.454,.458,.000,.454,.824,.545,23.8,1311,2488
232,Scottie Pippen*,1993-94,28,CHI,NBA,72,72,38.3,8.7,17.8,7.8,15.0,0.9,2.7,3.8,5.7,2.4,6.3,8.7,5.6,2.9,0.8,3.2,3.2,22.0,.491,.522,.320,.515,.660,.544,23.2,1278,2759
233,Kobe Bryant,2001-02,23,LAL,NBA,80,80,38.3,9.4,20.0,9.0,18.3,0.4,1.7,6.1,7.4,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,.469,.489,.250,.479,.829,.544,23.2,1597,3063
234,Vince Carter,1999-00,23,TOR,NBA,82,82,38.1,9.6,20.7,8.5,17.8,1.2,2.9,5.3,6.7,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,.465,.475,.403,.493,.791,.543,23.4,1696,3126
235,Allen Iverson,2005-06,30,PHI,NBA,72,72,43.1,11.3,25.3,10.3,22.2,1.0,3.1,9.4,11.5,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,.447,.465,.323,.467,.814,.543,25.9,1822,3103
236,Dominique Wilkins*,1986-87,27,ATL,NBA,79,79,37.6,10.5,22.6,10.1,21.3,0.4,1.3,7.7,9.4,2.7,3.6,6.3,3.3,1.5,0.6,2.7,1.9,29.0,.463,.474,.292,.472,.818,.543,23.5,1787,2969
237,Hakeem Olajuwon*,1989-90,27,HOU,NBA,82,82,38.1,9.8,19.6,9.8,19.5,0.0,0.1,4.7,6.5,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,.501,.502,.167,.501,.713,.541,24.1,1609,3124
238,Tim Duncan,2004-05,28,SAS,NBA,66,66,33.4,7.8,15.8,7.8,15.7,0.0,0.1,4.6,6.9,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2,20.3,.496,.498,.333,.498,.670,.540,27.0,1042,2203
239,Russell Westbrook,2010-11,22,OKC,NBA,82,82,34.7,7.5,17.0,7.1,15.7,0.4,1.3,6.5,7.7,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9,.442,.451,.330,.454,.842,.538,23.6,1390,2847
240,Kevin Garnett,2001-02,25,MIN,NBA,81,81,39.2,8.1,17.3,7.7,15.9,0.5,1.4,4.4,5.5,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,.470,.484,.319,.484,.801,.536,23.8,1401,3175
241,Tim Duncan,2000-01,24,SAS,NBA,82,82,38.7,8.6,17.1,8.5,16.8,0.1,0.3,5.0,8.1,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,.499,.504,.259,.502,.618,.536,23.8,1406,3174
242,Russell Westbrook,2014-15,26,OKC,NBA,67,67,34.4,9.4,22.0,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,.426,.457,.299,.455,.835,.536,29.1,1471,2302
243,Dominique Wilkins*,1985-86,26,ATL,NBA,78,78,39.1,11.4,24.3,11.2,23.4,0.2,0.9,7.4,9.0,3.3,4.6,7.9,2.6,1.8,0.6,3.2,2.2,30.3,.468,.479,.186,.472,.818,.536,23.3,1897,3049
244,Gary Payton*,1999-00,31,SEA,NBA,82,82,41.8,9.1,20.3,7.0,14.0,2.2,6.3,3.8,5.2,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,.448,.497,.340,.502,.735,.535,23.6,1666,3425
245,Tim Duncan,2003-04,27,SAS,NBA,69,68,36.6,8.6,17.1,8.6,16.9,0.0,0.2,5.1,8.5,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,.501,.505,.167,.502,.599,.534,27.1,1181,2527
246,Dominique Wilkins*,1987-88,28,ATL,NBA,78,76,37.8,11.7,25.1,11.2,23.4,0.5,1.7,6.9,8.4,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,.464,.476,.295,.474,.826,.534,23.7,1957,2948
247,Michael Jordan*,1997-98,34,CHI,NBA,82,82,38.8,10.7,23.1,10.4,21.5,0.4,1.5,6.9,8.8,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,.465,.482,.238,.473,.784,.533,25.2,1893,3181
248,Tracy McGrady,2001-02,22,ORL,NBA,76,76,38.3,9.4,20.9,8.1,17.1,1.4,3.7,5.5,7.3,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,.451,.470,.364,.483,.748,.532,25.1,1586,2912
249,Russell Westbrook,2012-13,24,OKC,NBA,82,82,34.9,8.2,18.7,7.0,15.1,1.2,3.7,5.6,7.0,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,.438,.466,.323,.470,.800,.532,23.9,1535,2861
250,Allen Iverson,2004-05,29,PHI,NBA,75,75,42.3,10.3,24.2,8.9,19.7,1.4,4.5,8.7,10.5,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,.424,.451,.308,.453,.835,.532,23.2,1818,3174
251,Kevin Garnett,2000-01,24,MIN,NBA,81,81,39.5,8.7,18.2,8.5,17.4,0.2,0.8,4.4,5.8,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,.477,.486,.288,.484,.764,.531,23.9,1475,3202
252,Chris Webber,1999-00,26,SAC,NBA,75,75,38.4,10.0,20.6,9.6,19.4,0.4,1.3,4.1,5.5,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5,.483,.496,.284,.492,.751,.530,23.4,1548,2880
253,Tracy McGrady,2003-04,24,ORL,NBA,67,67,39.9,9.7,23.4,7.1,15.7,2.6,7.7,5.9,7.5,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,.417,.455,.339,.473,.796,.526,25.3,1566,2675
254,Tim Duncan,2005-06,29,SAS,NBA,80,80,34.8,7.2,14.8,7.2,14.8,0.0,0.1,4.2,6.7,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6,.484,.485,.400,.485,.629,.523,23.1,1185,2784
255,Tracy McGrady,2000-01,21,ORL,NBA,77,77,40.1,10.2,22.4,9.5,20.2,0.8,2.2,5.6,7.6,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,.457,.468,.355,.474,.733,.521,24.9,1724,3087
256,Allen Iverson,2000-01,25,PHI,NBA,71,71,42.0,10.7,25.5,9.4,21.2,1.4,4.3,8.2,10.1,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,.420,.441,.320,.447,.814,.518,24.0,1813,2979
257,Chris Webber,2000-01,27,SAC,NBA,70,70,40.5,11.2,23.4,11.2,23.0,0.0,0.4,4.6,6.6,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,.481,.488,.071,.481,.703,.516,24.7,1635,2836
258,Tracy McGrady,2006-07,27,HOU,NBA,71,71,35.8,9.0,20.8,7.2,15.5,1.8,5.4,4.9,6.9,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,.431,.466,.331,.474,.707,.515,23.2,1480,2539
