Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Anthony Bennett,University of Nevada Las Vegas,2,109,1557,515,371,65,.393,.263,.639,14.3,4.7,3.4,0.6,-0.1,-0.002
2,2,ORL,Victor Oladipo,Indiana University,2,152,5060,2398,631,622,.428,.333,.799,33.3,15.8,4.2,4.1,4.8,.046
3,3,WAS,Otto Porter,Georgetown University,2,111,1751,523,278,75,.434,.312,.725,15.8,4.7,2.5,0.7,2.7,.074
4,4,CHA,Cody Zeller,Indiana University,2,144,2903,962,715,192,.443,.500,.750,20.2,6.7,5.0,1.3,6.5,.107
5,5,PHO,Alex Len,University of Maryland,2,111,1880,518,553,36,.492,.333,.689,16.9,4.7,5.0,0.3,3.6,.091
6,6,NOH,Nerlens Noel,University of Kentucky,1,75,2311,744,611,128,.462,,.609,30.8,9.9,8.1,1.7,4.0,.083
7,7,SAC,Ben McLemore,University of Kansas,2,164,4857,1716,476,222,.409,.342,.809,29.6,10.5,2.9,1.4,3.3,.032
8,8,DET,Kentavious Caldwell-Pope,University of Georgia,2,162,4170,1513,411,164,.399,.337,.717,25.7,9.3,2.5,1.0,4.6,.053
9,9,MIN,Trey Burke,University of Michigan,2,146,4550,1868,412,724,.374,.324,.818,31.2,12.8,2.8,5.0,3.3,.035
10,10,POR,C.J. McCollum,Lehigh University,2,100,1449,625,139,91,.429,.388,.692,14.5,6.3,1.4,0.9,2.0,.066
11,11,PHI,Michael Carter-Williams,Syracuse University,2,136,4563,2133,790,883,.401,.252,.699,33.6,15.7,5.8,6.5,2.1,.022
12,12,OKC,Steven Adams,University of Pittsburgh,2,151,2968,802,855,109,.531,.000,.534,19.7,5.3,5.7,0.7,7.0,.113
13,13,DAL,Kelly Olynyk,Gonzaga University,2,134,2823,1263,669,218,.471,.349,.744,21.1,9.4,5.0,1.6,6.5,.111
14,14,UTA,Shabazz Muhammad,University of California Los Angeles,2,75,1156,655,207,50,.482,.371,.703,15.4,8.7,2.8,0.7,2.3,.095
15,15,MIL,Giannis Antetokounmpo,,2,158,4438,1555,881,357,.464,.296,.719,28.1,9.8,5.6,2.3,7.4,.080
16,16,BOS,Lucas Nogueira,,1,6,23,6,11,1,.250,,.500,3.8,1.0,1.8,0.2,0.0,-0.071
17,17,ATL,Dennis Schroder,,2,126,2157,951,224,410,.417,.326,.797,17.1,7.5,1.8,3.3,1.8,.040
18,18,ATL,Shane Larkin,University of Miami,2,124,2354,602,218,297,.420,.305,.748,19.0,4.9,1.8,2.4,1.6,.033
19,19,CLE,Sergey Karasev,,2,55,711,190,82,52,.391,.274,.792,12.9,3.5,1.5,0.9,0.6,.038
20,20,CHI,Tony Snell,University of New Mexico,2,149,2643,781,300,130,.407,.347,.781,17.7,5.2,2.0,0.9,4.0,.073
21,21,UTA,Gorgui Dieng,University of Louisville,2,133,3011,996,909,185,.503,.286,.742,22.6,7.5,6.8,1.4,7.1,.114
22,22,BRK,Mason Plumlee,Duke University,2,152,3018,1237,820,134,.606,.000,.545,19.9,8.1,5.4,0.9,9.4,.150
23,23,IND,Solomon Hill,University of Arizona,2,110,2607,776,355,196,.398,.325,.825,23.7,7.1,3.2,1.8,3.9,.072
24,24,NYK,Tim Hardaway,University of Michigan,2,151,3556,1628,277,193,.408,.353,.813,23.5,10.8,1.8,1.3,3.9,.053
25,25,LAC,Reggie Bullock,University of North Carolina,2,79,733,184,104,20,.351,.311,.722,9.3,2.3,1.3,0.3,0.3,.019
26,26,MIN,Andre Roberson,University of Colorado,2,107,1685,303,349,85,.465,.235,.517,15.7,2.8,3.3,0.8,2.9,.084
27,27,DEN,Rudy Gobert,,2,127,2592,790,930,116,.587,.000,.598,20.4,6.2,7.3,0.9,9.7,.179
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin,University of Kentucky,2,93,1068,425,161,64,.421,.221,.710,11.5,4.6,1.7,0.7,0.4,.016
30,30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-0.132
31,31,CLE,Allen Crabbe,University of California,2,66,783,201,82,45,.403,.364,.750,11.9,3.0,1.2,0.7,1.3,.081
32,32,OKC,Alex Abrines,,,,,,,,,,,,,,,,
33,33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057
34,34,HOU,Isaiah Canaan,Murray State University,2,69,1190,533,111,120,.381,.362,.787,17.2,7.7,1.6,1.7,1.6,.063
35,35,PHI,Glen Rice,Georgia Institute of Technology,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-0.065
36,36,SAC,Ray McCallum,University of Detroit Mercy,2,113,2333,783,259,308,.414,.329,.701,20.6,6.9,2.3,2.7,1.7,.036
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151
38,38,WAS,Nate Wolters,South Dakota State University,2,79,1556,459,183,208,.426,.261,.635,19.7,5.8,2.3,2.6,1.0,.030
39,39,POR,Jeff Withey,University of Kansas,2,95,943,288,214,37,.523,.000,.699,9.9,3.0,2.3,0.4,2.6,.134
40,40,POR,Grant Jerrett,University of Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-0.128
41,41,MEM,Jamaal Franklin,San Diego State University,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-0.006
42,42,PHI,Pierre Jackson,Baylor University,,,,,,,,,,,,,,,
43,43,MIL,Ricky Ledo,Providence College,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-0.096
44,44,DAL,Mike Muscala,Bucknell University,2,60,717,273,171,32,.509,.360,.923,12.0,4.6,2.9,0.5,2.1,.137
45,45,POR,Marko Todorovic,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green,Virginia Polytechnic Institute and State University,1,43,410,146,31,39,.377,.298,.833,9.5,3.4,0.7,0.9,0.0,.000
47,47,ATL,Raul Neto,,,,,,,,,,,,,,,,
48,48,LAL,Ryan Kelly,Duke University,2,111,2545,804,365,187,.384,.337,.822,22.9,7.2,3.3,1.7,2.9,.055
49,49,CHI,Erik Murphy,University of Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-0.055
50,50,ATL,James Ennis,California State University Long Beach,1,62,1051,312,176,48,.409,.326,.840,17.0,5.0,2.8,0.8,1.9,.088
51,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,North Carolina State University,2,55,773,186,98,131,.375,.155,.656,14.1,3.4,1.8,2.4,0.0,-0.002
53,53,IND,Colton Iverson,Colorado State University,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,University of Oregon,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,,1,24,268,93,77,13,.404,.188,.643,11.2,3.9,3.2,0.5,0.1,.012
56,56,DET,Peyton Siva,University of Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-0.032
57,57,PHO,Alex Oriakhi,University of Missouri,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas,Ohio State University,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljevic,,,,,,,,,,,,,,,,
60,60,MEM,Janis Timma,,,,,,,,,,,,,,,,